serial_timesteps,true_reward,value_loss,ep_reward_mean,explained_variance,approxkl,ep_len_mean,policy_entropy,policy_loss,total_timesteps,time_elapsed,n_updates,fps,clipfrac
12750,-0.03509971,0.21735092,1.6993842781637978,0.9339317679405212,0.0017669259,81.59,5.4819446,-0.0014531845,1275000,52.38639283180237,51,38410,0.011688
13000,-0.035178993,0.25533253,1.7772030697202899,0.9217897206544876,0.0024917924,82.83,5.4709406,-0.0015365612,1300000,53.579179525375366,52,46953,0.019688
13250,-0.035737354,0.23177505,1.5869191895330323,0.9273667633533478,0.0017380485,80.93,5.464879,-0.0013596739,1325000,54.62815737724304,53,46633,0.011235999
13500,-0.035529766,0.21701145,1.5126788351098661,0.9313665926456451,0.0027736968,72.18,5.457801,-0.0018999297,1350000,55.68553137779236,54,48717,0.024372
13750,-0.033676334,0.19941211,1.59409432196102,0.9389675296843052,0.00191229,82.48,5.4529004,-0.0012893986,1375000,56.724931716918945,55,48856,0.012923999
14000,-0.031401485,0.19142267,1.7368218195341614,0.9376610107719898,0.0026693933,84.62,5.4512753,-0.0016355047,1400000,57.7616331577301,56,46764,0.023244
14250,-0.027370222,0.18299015,1.8295764951099591,0.9409457221627235,0.0021525675,90.45,5.451731,-0.0013327779,1425000,58.78151750564575,57,52618,0.013896001
14500,-0.032289896,0.20867237,1.5923377838237036,0.9399449191987514,0.002128844,88.16,5.453002,-0.0019219343,1450000,59.723310232162476,58,53643,0.016464
14750,-0.031768825,0.22303823,1.3696073978234744,0.9337816685438156,0.0029715227,76.89,5.4512963,-0.0017565542,1475000,60.63602876663208,59,55526,0.025112
15000,-0.03259804,0.2159733,1.7163208222227513,0.9336084723472595,0.0020937985,82.1,5.4440527,-0.0010040799,1500000,61.53109407424927,60,54592,0.013788
15250,-0.035239894,0.22583377,1.4172743506749248,0.927004799246788,0.0035477176,72.56,5.437663,-0.0023660972,1525000,62.43824338912964,61,52931,0.037004
15500,-0.035394378,0.1986496,1.5984255802769882,0.936128742992878,0.0025052514,81.62,5.44025,-0.0018213153,1550000,63.34634470939636,62,53657,0.022964
15750,-0.034379885,0.1932904,1.4251544899573856,0.9389936327934265,0.00273064,76.57,5.4400563,-0.001411601,1575000,64.25467729568481,63,56024,0.0221
16000,-0.03474627,0.17921302,1.4996862282935763,0.943313293159008,0.002242703,78.06,5.435073,-0.0014914932,1600000,65.1643545627594,64,55757,0.01726
16250,-0.034157295,0.17078446,1.5260802759415855,0.9476560354232788,0.0022680252,79.7,5.431403,-0.0014508098,1625000,66.04989194869995,65,50352,0.016576001
16500,-0.033136733,0.1913077,1.4476347623092443,0.9388921484351158,0.002366556,80.67,5.428027,-0.0012064916,1650000,67.02287173271179,66,54541,0.014939999
16750,-0.035474792,0.17757924,1.3427614302927031,0.9461780712008476,0.0022975814,79.11,5.4223943,-0.0017359324,1675000,67.91642761230469,67,56826,0.019307999
17000,-0.031683967,0.1694593,1.6289967093442466,0.9430958554148674,0.0025142964,82.12,5.416265,-0.001820359,1700000,68.79167246818542,68,54541,0.023744
17250,-0.03277915,0.16272159,1.5769354764261714,0.9489011839032173,0.0025934442,82.0,5.4094667,-0.0018351168,1725000,69.68486285209656,69,54853,0.018676
17500,-0.03497552,0.145843,1.404715194294563,0.9540954381227493,0.002332797,76.04,5.399514,-0.0014333825,1750000,70.61604022979736,70,49740,0.017568
17750,-0.032280702,0.16818474,1.4945841484763378,0.9480389021337032,0.0024811332,75.18,5.392568,-0.0015463136,1775000,71.65322494506836,71,52356,0.017083999
18000,-0.030369982,0.14131078,1.8619956008151803,0.9566602297127247,0.002419448,85.63,5.385041,-0.0015258112,1800000,72.61468362808228,72,47548,0.019264
18250,-0.028392889,0.13288155,1.5151450949828995,0.959262203425169,0.0026556219,75.6,5.378648,-0.0017967842,1825000,73.69820046424866,73,49726,0.024512002
18500,-0.03213978,0.12197973,1.6453491316555084,0.9635115265846252,0.002663164,79.79,5.3725247,-0.0017281569,1850000,74.64846777915955,74,56839,0.019539999
18750,-0.030996006,0.1831027,1.7158023451003555,0.9450128190219402,0.0020256124,82.09,5.368295,-0.0013805566,1875000,75.51143217086792,75,56791,0.015031999
19000,-0.034710985,0.16088405,1.4375266578837453,0.9498935043811798,0.003092728,70.33,5.366395,-0.0019085523,1900000,76.37327647209167,76,55184,0.02734
19250,-0.0278133,0.14987466,1.6218058912163407,0.955001313239336,0.0031272508,84.49,5.356789,-0.002128431,1925000,77.2496588230133,77,54024,0.027612
19500,-0.029613089,0.17424685,1.7868062418345108,0.945972915738821,0.0028060456,87.78,5.3469334,-0.0016217843,1950000,78.13604855537415,78,54207,0.021504
19750,-0.026462298,0.14731771,1.7315716128721805,0.9552862569689751,0.0028623317,80.59,5.3401594,-0.001752959,1975000,79.01693654060364,79,54387,0.024624001
20000,-0.029335137,0.15850626,1.6724364861747802,0.9511102549731731,0.002561461,82.05,5.3374434,-0.0021509025,2000000,79.89322519302368,80,53928,0.02236
20250,-0.027709736,0.14775433,1.6989804042753167,0.9567859843373299,0.0033515722,76.16,5.3387446,-0.0019086084,2025000,80.7636399269104,81,53246,0.032932002
20500,-0.031741414,0.13341022,1.6339718660807705,0.9595451280474663,0.0022890058,78.44,5.3343773,-0.001851459,2050000,81.65208125114441,82,53269,0.017111998
20750,-0.026384939,0.13853967,1.771995047918008,0.9571633972227573,0.003082414,92.07,5.326171,-0.002071562,2075000,82.54257202148438,83,55254,0.03204
21000,-0.033555828,0.15666175,1.5746750623579056,0.9546136669814587,0.0020673592,79.34,5.320557,-0.0009799241,2100000,83.41190838813782,84,55890,0.013096
21250,-0.027003594,0.15293306,1.6835030408941385,0.9515840001404285,0.002850381,80.59,5.316106,-0.0019229172,2125000,84.28265333175659,85,54499,0.023783999
21500,-0.025358057,0.12562138,1.8884364722420104,0.9619796946644783,0.0021165973,86.33,5.314145,-0.0016985002,2150000,85.16474866867065,86,53988,0.01532
21750,-0.028661303,0.15172401,1.5807446878145128,0.9540192224085331,0.00240319,80.25,5.3089576,-0.0015546697,2175000,86.04473161697388,87,56538,0.016951999
22000,-0.027141184,0.14580838,1.6346228746256861,0.956717312335968,0.0029393332,79.87,5.3038692,-0.0018974112,2200000,86.91120839118958,88,56232,0.026276002
22250,-0.024971709,0.11832819,1.9799243968211522,0.9655723758041859,0.0022163014,91.94,5.297876,-0.0013556201,2225000,87.77529716491699,89,56735,0.013791999
22500,-0.027881635,0.1296237,1.6231262075501944,0.9608046486973763,0.0023148265,80.89,5.2914557,-0.0017361451,2250000,88.62804293632507,90,53685,0.016424002
22750,-0.023676198,0.13000928,1.7854060267443128,0.963226206600666,0.0028584911,82.28,5.2855635,-0.002130764,2275000,89.51480388641357,91,55154,0.025103997
23000,-0.028800327,0.12812656,1.609480162492241,0.9622910059988499,0.0027041032,79.05,5.2758527,-0.0019506266,2300000,90.38527274131775,92,56718,0.022580002
23250,-0.027205478,0.1273191,1.5993522685167136,0.9632894843816757,0.0033590891,77.92,5.2659507,-0.0021229365,2325000,91.23026776313782,93,53783,0.030984
23500,-0.029397896,0.13768217,1.6351121329387024,0.9585673436522484,0.0024962567,80.22,5.26345,-0.0014979464,2350000,92.12161016464233,94,54990,0.017692
23750,-0.026556848,0.1189872,1.7718941994306578,0.9667755179107189,0.0028324034,83.63,5.2602835,-0.0018083025,2375000,92.98871684074402,95,56705,0.0232
24000,-0.02634602,0.17343181,1.8638128310089723,0.9505082853138447,0.0030525848,85.23,5.2554493,-0.001974259,2400000,93.8476710319519,96,55603,0.027263999
24250,-0.022638336,0.14407933,2.038714001267108,0.9579905569553375,0.002811324,92.89,5.253778,-0.0019652848,2425000,94.72903060913086,97,53003,0.024676
24500,-0.023923768,0.122226164,1.7729350142389921,0.9655269607901573,0.0027327717,84.31,5.252875,-0.0017909339,2450000,95.62786078453064,98,55696,0.022296
24750,-0.026951207,0.13317399,1.8389523334665865,0.9615351520478725,0.0030094336,84.06,5.2490973,-0.0020659107,2475000,96.50361800193787,99,54415,0.025236
25000,-0.026130103,0.1362687,1.5268126420356294,0.9604897163808346,0.00277333,79.57,5.2453966,-0.0017075026,2500000,97.38582301139832,100,49329,0.022324
25250,-0.021945292,0.13998793,1.7834480241729034,0.9566889330744743,0.0023265446,89.16,5.239402,-0.0016426038,2525000,98.34212708473206,101,54654,0.016396
25500,-0.026191477,0.14489797,1.762010993842041,0.9565096758306026,0.0027457203,81.76,5.2318225,-0.001994195,2550000,99.22336053848267,102,55382,0.021068
25750,-0.026363535,0.17683724,1.6441783945962378,0.9469940140843391,0.003426953,80.37,5.224131,-0.0024074644,2575000,100.11426520347595,103,54671,0.03256
26000,-0.023880327,0.15111841,1.709108784573382,0.955663476139307,0.002509084,80.97,5.215757,-0.0013665068,2600000,100.99286341667175,104,55219,0.01794
26250,-0.024004228,0.14360401,1.719629059246414,0.9573747888207436,0.00264834,82.18,5.2085295,-0.0013901641,2625000,101.8419816493988,105,55959,0.019308
26500,-0.023022553,0.1456587,1.8346376897601704,0.9558718428015709,0.0026669418,86.91,5.204756,-0.0021103285,2650000,102.7048032283783,106,55788,0.021168001
26750,-0.022638723,0.16618219,1.7411387984828253,0.9522399306297302,0.0031506275,82.13,5.1974196,-0.0019442486,2675000,103.55869007110596,107,53725,0.028363999
27000,-0.020297287,0.14740282,1.9634504800408104,0.9563019163906574,0.0030301553,91.56,5.1894307,-0.0015302219,2700000,104.44268465042114,108,55925,0.025212001
27250,-0.02535017,0.16004103,1.9941652382273787,0.9545704908668995,0.0023294496,92.75,5.1832266,-0.0016328746,2725000,105.30394053459167,109,57050,0.016876
27500,-0.022678228,0.17495911,1.8854731423975863,0.9503785669803619,0.0017151255,83.51,5.1770844,-0.0010667979,2750000,106.15587639808655,110,55259,0.010576
27750,-0.026069429,0.15982299,1.4878907333336293,0.9560832940042019,0.002168129,78.38,5.1713505,-0.0015687759,2775000,107.0142707824707,111,55347,0.017172
28000,-0.021050418,0.15579352,2.114201551249562,0.9546992033720016,0.0026868023,90.29,5.166665,-0.0018422775,2800000,107.88714909553528,112,54079,0.0234
28250,-0.0235738,0.14390996,1.8118271078802628,0.9595344439148903,0.0028572548,90.7,5.1602297,-0.0022766055,2825000,108.75644421577454,113,55144,0.025652
28500,-0.027745351,0.16238704,1.4715617918273738,0.9538000710308552,0.0024725199,84.07,5.1478033,-0.0018689865,2850000,109.64570450782776,114,53658,0.020404
28750,-0.02556408,0.15788832,1.677320882195744,0.9542634449899197,0.00299714,81.73,5.1348953,-0.002173708,2875000,110.52569341659546,115,55700,0.02746
