policy_loss,explained_variance,time_elapsed,ep_reward_mean,fps,serial_timesteps,total_timesteps,approxkl,ep_len_mean,value_loss,n_updates,clipfrac,true_reward,policy_entropy
-0.0015114483,0.8117358982563019,251.03937935829163,16.12819695517619,58631,78750,7875000,0.00787266,243.33,0.043354828,315,0.10383199,0.066055596,2.9714882
-0.0024864445,0.7970861047506332,251.83755087852478,16.2064282233562,66234,79000,7900000,0.0075301467,241.82,0.0408756,316,0.102192,0.066797756,2.9698067
-0.002449068,0.7902241200208664,252.59463691711426,16.02047774239356,68912,79250,7925000,0.006187167,238.43,0.04388941,317,0.078124,0.06700958,2.9671135
-0.0017715059,0.7948632538318634,253.3706874847412,15.91141996135586,66049,79500,7950000,0.0064701936,238.91,0.05009052,318,0.083604,0.066390805,2.965234
-0.0018473627,0.8589774668216705,254.1387894153595,16.23676954491064,69167,79750,7975000,0.0075085266,243.03,0.032789536,319,0.09906401,0.066654295,2.9653094
-0.00092088373,0.8292003571987152,254.9036042690277,16.28263313018455,64045,80000,8000000,0.010269173,243.57,0.034396373,320,0.132884,0.06673011,2.9642794
-0.0016193578,0.6752082109451294,255.67352318763733,15.89523756384413,67271,80250,8025000,0.0050233817,236.02,0.06651131,321,0.058819998,0.06717845,2.961935
-0.0023717054,0.7602726072072983,256.4526209831238,15.764819770590401,69057,80500,8050000,0.005206856,234.07,0.06375934,322,0.060348004,0.06706971,2.9616628
-0.0025605191,0.7052668929100037,257.2221963405609,16.21383125539229,64074,80750,8075000,0.0070728487,241.73,0.06324594,323,0.093219995,0.06668616,2.9623876
-0.0027296871,0.8915029019117355,258.009991645813,16.076244498200104,66969,81000,8100000,0.0055165878,241.55,0.039680008,324,0.06847601,0.06622894,2.9646657
-0.0018337565,0.8392468094825745,258.7733097076416,16.20429660501046,67949,81250,8125000,0.0047537033,243.22,0.034576684,325,0.056508005,0.066564284,2.96773
-0.0012689019,0.7293887436389923,259.5465326309204,15.956334331908584,68204,81500,8150000,0.0056354967,237.75,0.06833656,326,0.069515996,0.066920914,2.9697185
-0.0016198817,0.8010413348674774,260.3104944229126,15.998974058460735,65540,81750,8175000,0.00549848,236.63,0.04696552,327,0.068948,0.06747556,2.972364
1.892402e-05,0.8645471334457397,261.06746768951416,16.341065267956875,65041,82000,8200000,0.007037916,245.07,0.025373716,328,0.086931996,0.06663898,2.973231
-0.0011008637,0.7572687715291977,261.8538541793823,16.331495258363137,64828,82250,8225000,0.007987605,242.93,0.043308504,329,0.10847199,0.067156464,2.9730752
-0.0016924173,0.7410864531993866,262.6514308452606,16.193282557843485,62732,82500,8250000,0.006887918,240.64,0.054244112,330,0.085792,0.06708112,2.9736843
-0.0017950621,0.7820706963539124,263.45222997665405,16.268576224697462,57790,82750,8275000,0.006112228,242.4,0.041192714,331,0.074872,0.06695573,2.9682004
-0.0016960462,0.8399900794029236,264.27654361724854,16.456573836305033,66052,83000,8300000,0.0070037744,244.71,0.02767609,332,0.09163199,0.06717404,2.9646955
