serial_timesteps,explained_variance,time_elapsed,policy_loss,clipfrac,value_loss,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,approxkl,total_timesteps,n_updates,fps
43750,0.970302265137434,151.6680417060852,-0.0024747779,0.030744001,0.013592618,0.3102970390846895,69.7,0.008284595,4.81376,0.0031220312,4375000,175,61538
44000,0.9729000460356474,152.49068593978882,-0.0022291234,0.017231999,0.01355925,0.41381674955922565,64.1,0.00810747,4.806478,0.0024161655,4400000,176,60591
44250,0.968849228695035,153.31816625595093,-0.002322786,0.030947998,0.015245946,0.19959127948139213,65.88,0.006813008,4.801535,0.0032797877,4425000,177,61410
44500,0.9569534994661808,154.14023852348328,-0.0022221953,0.023076,0.019852953,0.3681028143123558,69.13,0.009557796,4.8000937,0.0026786267,4450000,178,62006
44750,0.9722388237714767,154.98105216026306,-0.0015907619,0.023148,0.013128243,0.37556403105763664,67.28,0.008739088,4.8004484,0.0029065958,4475000,179,62948
45000,0.9705012794584036,155.7912712097168,-0.0016170908,0.036884002,0.015258181,0.4915128960228469,66.48,0.008953843,4.800946,0.0035561356,4500000,180,62967
45250,0.9668739214539528,156.5953061580658,-0.0017128538,0.0296,0.014171949,0.5072311145976571,73.07,0.008540622,4.799035,0.0031894979,4525000,181,62135
45500,0.9659157246351242,157.40912127494812,-0.0020685582,0.028476,0.015246272,0.3406140599488873,64.99,0.008681433,4.7969475,0.0031003018,4550000,182,62567
45750,0.9663954861462116,158.22152590751648,-0.0018375429,0.02132,0.01420584,0.27115821933912687,68.22,0.007777215,4.791853,0.0027370017,4575000,183,63581
46000,0.9704645108431578,159.0210452079773,-0.002173587,0.027624002,0.013600151,0.5047996312049042,69.33,0.0098888045,4.786273,0.0030224833,4600000,184,62195
46250,0.9770995229482651,159.83842206001282,-0.0019234832,0.029460002,0.010695269,0.34408317346970874,62.5,0.009280646,4.779865,0.0032739732,4625000,185,60438
46500,0.9655216969549656,160.65765166282654,-0.0026211147,0.039508004,0.016678622,0.35967672308386456,65.52,0.009267832,4.77477,0.0038125638,4650000,186,62161
46750,0.971200481057167,161.4727602005005,-0.0017353356,0.030191999,0.013132438,0.4608453265717344,69.2,0.008681266,4.770781,0.0031220675,4675000,187,62191
47000,0.9702489282935858,162.29502201080322,-0.0024694111,0.024916,0.013719888,0.3539946499591454,72.32,0.00822867,4.766041,0.0030656718,4700000,188,61556
47250,0.9714012052863836,163.1174681186676,-0.0022042016,0.033404,0.012662324,0.12114508505444974,62.33,0.007940659,4.757489,0.0034928806,4725000,189,60363
47500,0.9692362230271101,163.9381594657898,-0.0021587433,0.031392,0.013801189,0.26785612959596167,66.75,0.010253119,4.7504387,0.0033262414,4750000,190,63598
47750,0.9672997072339058,164.77415204048157,-0.0026479154,0.042159997,0.014486702,0.4055418470375525,74.1,0.008993737,4.741536,0.003942034,4775000,191,62382
48000,0.9678911678493023,165.58888483047485,-0.0014307674,0.033336002,0.015848069,0.19869055408829608,57.25,0.008673648,4.7345715,0.0034105065,4800000,192,62623
48250,0.9690008610486984,166.41026067733765,-0.0019517448,0.023943998,0.012304932,0.33415092861349366,63.58,0.00801332,4.729567,0.0028356817,4825000,193,61488
48500,0.9712777324020863,167.23231863975525,-0.0020971387,0.029731998,0.013561994,0.22227282879652194,67.24,0.007081838,4.727496,0.0029107425,4850000,194,60653
48750,0.9619467705488205,168.06879949569702,-0.0027122097,0.039404,0.016790213,0.3494249835866481,78.4,0.0076747644,4.725325,0.003754073,4875000,195,57208
49000,0.9609741866588593,168.95206952095032,-0.002595302,0.043608,0.019280458,0.2681541413592936,71.79,0.009032981,4.72377,0.004090177,4900000,196,57726
49250,0.9712919164448977,169.82899856567383,-0.0021174285,0.027904,0.0134788435,0.34695302787438775,68.57,0.0075675566,4.7214,0.0030709277,4925000,197,60738
49500,0.9707369264215231,170.65113878250122,-0.0025913033,0.043171998,0.012269816,0.229696932367267,64.81,0.007721501,4.716327,0.004006249,4950000,198,60109
49750,0.9720918592065573,171.48820662498474,-0.0016151469,0.012271999,0.011772461,0.30652771504424664,69.98,0.008590529,4.709702,0.0019507541,4975000,199,62339
50000,0.9696099273860455,172.31149005889893,-0.0023853434,0.025512,0.0147285815,0.27134717976521644,68.45,0.010666695,4.706218,0.003015727,5000000,200,62558
50250,0.971804765984416,173.13699197769165,-0.001551902,0.015624,0.013813926,0.22343038724494818,63.78,0.008142008,4.70136,0.0023062287,5025000,201,62180
50500,0.9716619830578566,173.95439267158508,-0.002210365,0.028196001,0.012947139,0.3417370747196753,76.44,0.009559898,4.696374,0.0031939168,5050000,202,61445
50750,0.9661627188324928,174.7860312461853,-0.0024326446,0.030272001,0.017801058,0.37948432622188194,67.9,0.008292099,4.6923127,0.0031826333,5075000,203,58894
51000,0.9699216242879629,175.64567852020264,-0.0019172672,0.023427999,0.013490194,0.44478609590078805,68.68,0.010486003,4.6863284,0.0029095698,5100000,204,57957
51250,0.9765925034880638,176.50970697402954,-0.0019580007,0.026368001,0.012038467,0.2807786572360192,65.13,0.00848695,4.680787,0.0026501534,5125000,205,58114
51500,0.9794539045542479,177.37525510787964,-0.0020691159,0.024239998,0.009976861,0.4140636495807166,65.06,0.0090336455,4.6725755,0.0027497297,5150000,206,57940
51750,0.9714000429958105,178.20550632476807,-0.0029056338,0.039075997,0.015890697,0.37537680559135994,70.65,0.008944894,4.66423,0.0037398778,5175000,207,59046
52000,0.9758863802999258,179.05749893188477,-0.0025068405,0.043244,0.013440175,0.34389802910470735,69.91,0.008480158,4.657041,0.004096202,5200000,208,53996
52250,0.9730586223304272,179.94522619247437,-0.0014317583,0.020152,0.013856408,0.4443025420694653,73.46,0.010071382,4.6503725,0.0026960415,5225000,209,59553
52500,0.9692437760531902,180.8353443145752,-0.0016588211,0.022211999,0.015460926,0.37812250331887753,72.98,0.009115147,4.645818,0.0026837015,5250000,210,59683
52750,0.9758912399411201,181.65692377090454,-0.00213257,0.030435998,0.013137987,0.14457459697955982,66.55,0.009114605,4.641653,0.0034366804,5275000,211,57005
53000,0.9746331423521042,182.53139448165894,-0.0012984365,0.036712,0.012975106,0.05387993119338489,62.52,0.010145613,4.6326385,0.0036554919,5300000,212,60809
53250,0.9699982106685638,183.4198305606842,-0.0020080241,0.028092,0.014926294,0.2800050136151731,61.89,0.008542637,4.6279798,0.0031888518,5325000,213,57076
53500,0.9729423150420189,184.3137149810791,-0.0018421777,0.025820002,0.014401196,0.3207412817475961,69.34,0.009494817,4.6239805,0.0029519235,5350000,214,59709
53750,0.9749626070261002,185.20862245559692,-0.0021356104,0.031084001,0.011229455,0.3888923726698522,74.34,0.010109328,4.6180286,0.0034247166,5375000,215,52903
54000,0.9758968129754066,186.09004998207092,-0.0020846534,0.034320004,0.011280064,0.3178036571367923,73.94,0.010719438,4.613077,0.0036795088,5400000,216,54615
54250,0.9716577455401421,187.05546689033508,-0.0029644277,0.039591998,0.012612696,0.25319054334639757,71.36,0.008977604,4.6088576,0.0041369097,5425000,217,51158
54500,0.9775345139205456,188.13057470321655,-0.0016168613,0.022388,0.0102833705,0.3760678124607836,68.33,0.010894867,4.602664,0.002815831,5450000,218,59360
