serial_timesteps,explained_variance,time_elapsed,policy_loss,clipfrac,value_loss,ep_reward_mean,ep_len_mean,true_reward,policy_entropy,approxkl,total_timesteps,n_updates,fps
7000,0.818556010723114,29.06211543083191,-0.0019190038,0.023775999,0.028319512,-0.11173744739530321,52.85,-0.0055877804,5.5638037,0.0027224962,700000,28,62446
7250,0.8471961915493011,29.884387969970703,-0.0013270935,0.017068,0.025657272,-0.003649096851870581,46.65,-0.0046905316,5.5579133,0.0023460262,725000,29,63129
7500,0.8354922831058502,30.73655128479004,-0.0012977142,0.007996,0.027530193,0.03637689990318222,45.57,-0.0052690706,5.5525837,0.0016128123,750000,30,62405
7750,0.8669044524431229,31.540143966674805,-0.0013561513,0.016404,0.023166122,-0.03001456296389364,49.04,-0.004907645,5.5492983,0.0022355274,775000,31,62938
8000,0.8527470827102661,32.33914804458618,-0.0009077267,0.0070760003,0.026908208,0.0018538559003718547,52.74,-0.004499287,5.547075,0.0015085883,800000,32,61498
8250,0.8513046354055405,33.15545058250427,-0.0017163514,0.018323999,0.027807534,-0.03783840209309206,48.93,-0.0046257256,5.5460525,0.0025263447,825000,33,62661
8500,0.8722639977931976,33.95860314369202,-0.0011956581,0.01618,0.02342926,-0.05398066230266977,42.16,-0.0037767577,5.546348,0.0022941385,850000,34,63223
8750,0.8598984032869339,34.766457319259644,-0.001339955,0.010916,0.029282942,0.01956450505796113,58.78,-0.0038448465,5.548694,0.0017477421,875000,35,62249
9000,0.8864578306674957,35.57862567901611,-0.0018196858,0.028816003,0.025286078,-0.07237376135161185,50.94,-0.0045914906,5.546172,0.0031254296,900000,36,62741
9250,0.8716314285993576,36.37568736076355,-0.0016288671,0.014971999,0.026465302,-0.06419144401099175,53.19,-0.004351499,5.5393395,0.0021899925,925000,37,63188
9500,0.874868854880333,37.177345514297485,-0.0012357109,0.01256,0.025079647,0.02619923659472704,50.94,-0.0035604315,5.533878,0.0018206716,950000,38,61348
9750,0.893847718834877,37.997015953063965,-0.0019056734,0.022991998,0.025868535,0.022277191636956104,51.3,-0.00268527,5.52909,0.0027469792,975000,39,61233
10000,0.8788299113512039,38.8333625793457,-0.001480955,0.021863999,0.02892128,0.010185978440571262,50.75,-0.003945025,5.5243616,0.0027373156,1000000,40,61290
10250,0.8984103500843048,39.65570068359375,-0.0015447054,0.015563999,0.023835082,0.009139443660950305,45.94,-0.0023671167,5.519116,0.0023483692,1025000,41,59949
10500,0.9092049896717072,40.505499839782715,-0.0014667718,0.013284,0.021066448,0.08565219899414366,53.2,-0.0024899314,5.516616,0.0019267102,1050000,42,62052
10750,0.8962085694074631,41.345969915390015,-0.0019614226,0.026328001,0.021688145,0.07259586160291746,53.61,-0.0027125108,5.513776,0.002952932,1075000,43,57925
11000,0.9113636389374733,42.204731464385986,-0.0014717325,0.01612,0.019558012,0.12361739766228083,49.04,-0.0038755303,5.5143447,0.0020472982,1100000,44,58878
11250,0.8998441323637962,43.05457806587219,-0.0015880499,0.027487999,0.022600852,0.07931651468658288,52.25,-0.0034826114,5.5127516,0.0030847688,1125000,45,62454
11500,0.9109954088926315,43.89157009124756,-0.0010465302,0.010556,0.023732033,0.0854938623924545,51.07,-0.002310091,5.509449,0.0017784603,1150000,46,58546
11750,0.8954044505953789,44.73309922218323,-0.0017219998,0.013076,0.021871869,0.005858459764179997,47.29,-0.002589364,5.503892,0.0018883251,1175000,47,58825
12000,0.8899515718221664,45.581713914871216,-0.0021147316,0.034095995,0.024048202,-0.04563686867538422,43.93,-0.00343737,5.5000114,0.0034686285,1200000,48,59431
12250,0.9085551798343658,46.43072581291199,-0.001585604,0.026828002,0.020404724,0.12354753540149772,48.72,-0.0030772977,5.4928946,0.0028972682,1225000,49,57716
12500,0.9048004522919655,47.31150197982788,-0.0013693826,0.021343999,0.02316058,0.06319299727380667,49.87,-0.0032767,5.48483,0.0026080038,1250000,50,59713
