fps,true_reward,policy_loss,time_elapsed,n_updates,ep_reward_mean,explained_variance,policy_entropy,total_timesteps,approxkl,clipfrac,value_loss,ep_len_mean,serial_timesteps
60925,0.09537416,-0.001743362,38.062673807144165,42,3.7274566629529,0.7341573536396027,5.4800854,1050000,0.0036751486,0.034036,0.6792658,25.81,10500
62050,0.09634631,-0.001021663,38.907166957855225,43,4.086765725761652,0.745589554309845,5.4737535,1075000,0.004783977,0.055908002,0.60703516,28.25,10750
62520,0.09589148,-0.0027052078,39.74347496032715,44,4.08455894343555,0.7685131132602692,5.466619,1100000,0.0045972154,0.051024,0.55644023,28.48,11000
60718,0.096056424,-0.001038651,40.5818510055542,45,3.71918281853199,0.7605178207159042,5.460973,1125000,0.005313075,0.063168004,0.5887826,25.6,11250
62971,0.096575536,-0.0022285208,41.42206573486328,46,3.638436654061079,0.7565193474292755,5.4575615,1150000,0.0037442478,0.034479998,0.6050332,24.97,11500
60888,0.096785605,-0.0026579818,42.25066161155701,47,3.8542841252684594,0.7566383630037308,5.453601,1175000,0.0043552453,0.045432,0.6443779,26.26,11750
62687,0.0957512,-0.002328612,43.079673290252686,48,3.508205950334668,0.7538927346467972,5.44843,1200000,0.004462714,0.048847996,0.5962968,24.35,12000
62151,0.096041374,-0.0017886335,43.91459321975708,49,3.274448649138212,0.7667514979839325,5.443122,1225000,0.0045758532,0.052272,0.5654044,22.67,12250
60496,0.096266344,-0.002787251,44.75862669944763,50,3.081464672908187,0.7619920372962952,5.4384403,1250000,0.005149843,0.058320004,0.608323,20.82,12500
63781,0.09693722,-0.0008930129,45.604942321777344,51,3.9814738983660938,0.7558598816394806,5.433488,1275000,0.0051336735,0.059404004,0.62153685,27.48,12750
62362,0.09693334,-0.0021180674,46.42552971839905,52,3.4481739044189452,0.7538198083639145,5.4297395,1300000,0.003506337,0.031072,0.623595,23.75,13000
62069,0.096710324,-0.0012746681,47.26841068267822,53,3.8315682999789713,0.7646992057561874,5.426049,1325000,0.004075215,0.045504004,0.56040263,26.46,13250
62637,0.09794389,-0.0028775663,48.09950518608093,54,3.9933894903212788,0.7473476231098175,5.422922,1350000,0.004308299,0.04378,0.6146662,27.51,13500
62785,0.09752078,-0.002031101,48.929083585739136,55,3.5449079734086992,0.7681515961885452,5.422948,1375000,0.0050339806,0.059091996,0.56190026,24.51,13750
62539,0.096823506,-0.0010172654,49.756126165390015,56,3.356634620204568,0.7583877891302109,5.4204454,1400000,0.0043546665,0.047712002,0.59350723,23.02,14000
59615,0.09761776,-0.0029371153,50.56584930419922,57,3.533131187707186,0.7651321589946747,5.41422,1425000,0.004135071,0.04124,0.54766977,24.54,14250
62421,0.09801038,-0.0021100582,51.42273211479187,58,3.7746461137384175,0.7665501087903976,5.4059258,1450000,0.004543858,0.048871998,0.5569691,26.03,14500
62626,0.098278835,-0.0024164205,52.25317573547363,59,3.922432593330741,0.7654652893543243,5.399939,1475000,0.004367746,0.047027998,0.58535075,27.21,14750
61265,0.09784807,-0.0009323152,53.08060002326965,60,3.769137406125665,0.7664138227701187,5.3906736,1500000,0.007953236,0.105032004,0.56563437,26.36,15000
62355,0.09721456,-0.0017743323,53.91659069061279,61,3.7790908597409727,0.7718710899353027,5.3825364,1525000,0.0060436735,0.073644005,0.5535661,26.05,15250
63498,0.09882312,-0.0030619744,54.750630617141724,62,3.891257173344493,0.762082040309906,5.3762126,1550000,0.004407163,0.046360005,0.61905324,26.84,15500
61868,0.098471686,-0.0026564668,55.571210622787476,63,4.376895891577005,0.7746690660715103,5.3711605,1575000,0.0048153233,0.054508,0.54862714,30.28,15750
62133,0.0992994,-0.0022068976,56.39766240119934,64,4.34577028542757,0.7654755115509033,5.367411,1600000,0.0048141666,0.054004002,0.6104343,30.38,16000
63187,0.09875466,-8.3953535e-05,57.22974753379822,65,4.278200369477272,0.7691829800605774,5.3616667,1625000,0.006780441,0.088212,0.6002319,29.65,16250
62034,0.09824351,5.29603e-05,58.03628206253052,66,4.22282531760633,0.771926686167717,5.357768,1650000,0.0078065917,0.103264,0.5785083,29.04,16500
60920,0.09836244,-0.002102226,58.870835304260254,67,4.318739003539085,0.7793534994125366,5.353362,1675000,0.0034712174,0.03082,0.56107837,30.11,16750
61925,0.098749846,-0.0022627295,59.71166753768921,68,3.9940512420982124,0.7836447656154633,5.3451395,1700000,0.0042016557,0.044116,0.5735415,27.16,17000
61994,0.09891542,-0.0018539972,60.54551601409912,69,4.222694471850991,0.7899846136569977,5.3394003,1725000,0.0043283785,0.046676002,0.52259576,29.52,17250
62606,0.0981883,-0.0016093679,61.39239478111267,70,4.0572889739274975,0.7773494720458984,5.3363566,1750000,0.0045310566,0.051583998,0.54039574,27.97,17500
61822,0.09801106,-0.0019717454,62.216161489486694,71,3.768510040566325,0.7791102528572083,5.335088,1775000,0.0043672677,0.04518,0.53262335,26.01,17750
61980,0.0985855,-0.0009494178,63.04025173187256,72,3.559004647433758,0.7810654193162918,5.333184,1800000,0.00739576,0.09656401,0.54879886,24.25,18000
61501,0.0997596,0.003707185,63.86589479446411,73,4.567331495732069,0.7930140346288681,5.3294163,1825000,0.01346221,0.184304,0.5261122,31.49,18250
62323,0.098409265,-0.0016218147,64.71286201477051,74,4.1232935889065265,0.7900753319263458,5.3230076,1850000,0.0060971985,0.076316,0.51887816,28.4,18500
60656,0.09920786,-0.0020147082,65.55083560943604,75,3.988783805221319,0.7973473966121674,5.3141985,1875000,0.004441762,0.047812004,0.5014515,27.57,18750
61085,0.09916579,-0.0020938886,66.39250063896179,76,4.099453576132655,0.7920663058757782,5.303267,1900000,0.0049377847,0.05768,0.5329816,28.31,19000
61350,0.098819695,-0.0024271547,67.23380255699158,77,3.897873933017254,0.7966078370809555,5.2932396,1925000,0.0048070303,0.052628,0.526667,26.97,19250
60556,0.098894894,-0.0021351273,68.10167670249939,78,3.8288736617565156,0.7936381846666336,5.2831283,1950000,0.004360402,0.045336,0.5114193,26.32,19500
60997,0.099340506,-0.0023984616,68.93445897102356,79,3.7011253921687604,0.8000582456588745,5.274417,1975000,0.004284853,0.044904,0.52266204,25.28,19750
60904,0.0994224,-0.0004171602,69.77099108695984,80,4.292358962520957,0.801694929599762,5.269545,2000000,0.0059075234,0.075008,0.5025175,29.99,20000
61375,0.09913526,-0.0014444969,70.60445237159729,81,4.019688755199313,0.7970687597990036,5.2671432,2025000,0.005402599,0.067336,0.51348937,27.66,20250
61882,0.09924704,-0.0012122671,71.42853260040283,82,3.930172820612788,0.7926013469696045,5.2635875,2050000,0.0051891706,0.061859995,0.5174552,27.04,20500
61212,0.099525906,-0.0011115071,72.28000450134277,83,3.7692132660746576,0.8008270561695099,5.2579527,2075000,0.0055876924,0.07041601,0.51686424,25.71,20750
51311,0.10032391,-0.0014130737,73.11236310005188,84,4.200321349129081,0.8021937906742096,5.2495775,2100000,0.0054321205,0.063456,0.4973688,28.74,21000
61876,0.099997796,-0.0030450218,74.02352833747864,85,4.528424668982625,0.8009016513824463,5.2399397,2125000,0.005022393,0.055748004,0.5040999,31.63,21250
62545,0.099600345,-0.001876818,74.85618782043457,86,3.963728502318263,0.8009071350097656,5.230388,2150000,0.004910317,0.057004005,0.49654666,27.34,21500
62426,0.100080624,-0.0011456449,75.66856288909912,87,3.9513268549740315,0.800730749964714,5.223172,2175000,0.0049194903,0.056532003,0.5074471,27.07,21750
63731,0.100109495,-0.00091455923,76.49953126907349,88,4.0647291403263806,0.7968546748161316,5.21877,2200000,0.005705242,0.069364,0.53542376,28.08,22000
61555,0.1006505,-0.00243883,77.30229759216309,89,4.1887715526670215,0.7996486127376556,5.214509,2225000,0.004164859,0.044023998,0.5435386,28.97,22250
60897,0.100940555,-0.0024417765,78.13285446166992,90,4.273896725699306,0.8037118762731552,5.2110195,2250000,0.004576332,0.050987996,0.50887966,29.45,22500
61661,0.10082737,-0.0027011628,78.9778220653534,91,4.091745477467775,0.7980700731277466,5.208427,2275000,0.0049638697,0.056231998,0.52549314,28.09,22750
62012,0.101077415,-0.0025785966,79.81304407119751,92,4.617149378061295,0.799845427274704,5.206915,2300000,0.0052329507,0.060007997,0.5215969,31.96,23000
61342,0.100999445,-0.0018555808,80.63367581367493,93,4.082554399669171,0.8057740926742554,5.205924,2325000,0.0053762714,0.062915996,0.50883543,27.71,23250
62223,0.10064829,-0.0016411878,81.45764589309692,94,4.498962620943785,0.8012502789497375,5.204335,2350000,0.0056845923,0.068959996,0.5245737,30.92,23500
61290,0.100801036,-0.0017971313,82.27601647377014,95,4.05046444684267,0.7953533232212067,5.2038937,2375000,0.0058284933,0.072532,0.52897847,27.92,23750
