policy_entropy,clipfrac,serial_timesteps,policy_loss,n_updates,time_elapsed,fps,true_reward,total_timesteps,explained_variance,approxkl,value_loss,ep_reward_mean,ep_len_mean
5.3708715,0.013312,18250,-0.0013975087,73,69.23038148880005,55541,0.023205148,1825000,0.9288293123245239,0.0019449915,0.031302385,1.8766318978657182,77.48
5.3651805,0.028072,18500,-0.0017880928,74,70.10376334190369,56399,0.02496553,1850000,0.9327978044748306,0.0028742473,0.036596797,1.719848216077553,66.77
5.362605,0.024704,18750,-0.0018595743,75,70.93521690368652,58079,0.022985289,1875000,0.9212144166231155,0.0027074271,0.04076885,1.6801811395415371,73.55
5.3554735,0.031188,19000,-0.0021460988,76,71.81226682662964,56034,0.023565069,1900000,0.9295724779367447,0.0034530933,0.037012063,1.576000050250077,69.42
5.346322,0.018504001,19250,-0.0014616769,77,72.68908166885376,52141,0.024449246,1925000,0.9334037825465202,0.0025313203,0.034623332,1.6241375181802504,65.03
5.335209,0.0198,19500,-0.002081919,78,73.6366798877716,51638,0.024277065,1950000,0.9343248158693314,0.002554107,0.032799665,1.9982171222297802,81.56
5.329079,0.019307997,19750,-0.0016649272,79,74.55017948150635,56040,0.02469752,1975000,0.9339779391884804,0.0025314172,0.032056905,1.689714721845212,67.99
5.3245506,0.017083999,20000,-0.0016430097,80,75.41376781463623,54212,0.02498575,2000000,0.9443374797701836,0.002159287,0.030497158,2.0584469791693816,77.89
5.3184385,0.019108001,20250,-0.0019020078,81,76.32792401313782,49691,0.026737891,2025000,0.9407995417714119,0.00242326,0.031664062,1.973481216113878,76.73
5.3074846,0.024924,20500,-0.002079864,82,77.33811616897583,56150,0.025254728,2050000,0.936770923435688,0.0030293572,0.032052834,1.924488778992004,75.25
5.299863,0.035124,20750,-0.0017438242,83,78.27990365028381,56970,0.025700219,2075000,0.9272162020206451,0.0037480667,0.039097115,2.186196124291282,78.17
5.2960463,0.011828,21000,-0.0010741743,84,79.10926246643066,56129,0.02583712,2100000,0.9389136880636215,0.0021369064,0.031746063,1.7107710944966583,73.59
5.2941203,0.014827999,21250,-0.0016244452,85,79.95210528373718,57476,0.025944598,2125000,0.9416082911193371,0.002177005,0.031855717,1.7887731655165362,70.36
5.2926984,0.021944,21500,-0.0019515639,86,80.80045557022095,56276,0.025323547,2150000,0.9458331391215324,0.0025206283,0.032415766,1.7016398079647843,69.69
5.288051,0.020324,21750,-0.0012908808,87,81.63230013847351,57927,0.024090571,2175000,0.9334984049201012,0.0025456543,0.039415605,1.6967902246580615,74.14
5.281466,0.019996,22000,-0.0017617304,88,82.44838905334473,54575,0.025055235,2200000,0.9413226805627346,0.0024823898,0.031318493,1.8709184965471013,74.74
5.273164,0.028703999,22250,-0.0018236113,89,83.3120231628418,59322,0.023855366,2225000,0.934913843870163,0.003221865,0.035373155,1.9853218590861978,72.81
5.263683,0.030091997,22500,-0.0025722703,90,84.13430619239807,54449,0.02302557,2250000,0.9191589206457138,0.0033881932,0.039189566,1.969261596339793,79.18
5.2566423,0.031264,22750,-0.002117229,91,84.97458338737488,56031,0.027693238,2275000,0.9287137687206268,0.0034350425,0.036666345,1.899695779214062,74.23
5.2538824,0.025248,23000,-0.001987572,92,85.83852791786194,58579,0.02524502,2300000,0.9302169382572174,0.003042703,0.038081102,1.4642461822672703,65.3
5.2497325,0.015031999,23250,-0.0012434088,93,86.6538815498352,57163,0.02602272,2325000,0.9400742053985596,0.002065967,0.030513614,1.9055941459064707,72.02
5.244439,0.017792001,23500,-0.0016274613,94,87.47864007949829,52174,0.027123472,2350000,0.9339527562260628,0.0024235807,0.032001983,1.7923197171162975,67.51
5.239509,0.018592002,23750,-0.0022160844,95,88.34005427360535,55839,0.025662102,2375000,0.941403616219759,0.0026462127,0.031277455,1.9772045817820618,74.47
5.2354193,0.012684,24000,-0.0014288689,96,89.33507108688354,44521,0.02893532,2400000,0.9428561963140965,0.0017974839,0.029163685,2.0744641894682174,79.36
5.2334585,0.024252,24250,-0.0018242802,97,90.35608434677124,40162,0.0253265,2425000,0.9422801770269871,0.002767995,0.032513462,1.960437770894714,73.65
5.233468,0.019996,24500,-0.0021549526,98,91.47180342674255,49226,0.026469348,2450000,0.9461061544716358,0.0025202984,0.0297045,1.8774917132034898,71.76
5.2308626,0.032684002,24750,-0.002516354,99,92.43209910392761,55979,0.024769135,2475000,0.9542797729372978,0.0033794127,0.027550817,1.9397190293397397,75.45
5.2226267,0.026507998,25000,-0.0024737336,100,93.31059956550598,56789,0.02537229,2500000,0.9429769478738308,0.0031196564,0.033644892,1.9876164221546424,77.12
5.2106943,0.025856,25250,-0.0022286437,101,94.16393089294434,56397,0.029226882,2525000,0.9372865110635757,0.002908267,0.032087766,1.884797969038991,75.74
5.199759,0.022132,25500,-0.0014173486,102,95.04055881500244,56457,0.02637252,2550000,0.9447727836668491,0.0027343049,0.029888678,2.0610928238738233,78.28
5.1943254,0.020952,25750,-0.0020011559,103,95.88520073890686,57421,0.026631923,2575000,0.9495650641620159,0.00252021,0.030405492,1.9297810209714226,70.05
5.1869206,0.02494,26000,-0.0023412649,104,96.72521090507507,55468,0.026810696,2600000,0.9371757954359055,0.0029239808,0.03606517,1.7671042060358377,71.92
5.1804,0.025996,26250,-0.0016041979,105,97.62860989570618,45484,0.027951444,2625000,0.9310334101319313,0.0029811384,0.03568549,1.9926502475109737,72.06
5.177064,0.027723998,26500,-0.0023637183,106,98.76992440223694,43044,0.027824016,2650000,0.9501406364142895,0.0029681425,0.02951892,2.136812702807947,80.47
5.1740503,0.021308,26750,-0.0018486554,107,99.91507768630981,54732,0.026691847,2675000,0.9399933367967606,0.0026653344,0.031209778,2.0024631534255968,78.82
5.1687727,0.023816,27000,-0.0022417088,108,100.78348922729492,57132,0.025886182,2700000,0.9436032697558403,0.0028889482,0.03285984,1.8596269388964515,70.87
5.165429,0.026495999,27250,-0.0019157998,109,101.62142062187195,54201,0.026965389,2725000,0.9531651698052883,0.0028291624,0.026558299,2.0851952843341586,80.03
