value_loss,ep_reward_mean,true_reward,clipfrac,total_timesteps,time_elapsed,policy_loss,ep_len_mean,serial_timesteps,policy_entropy,approxkl,explained_variance,n_updates,fps
1.9620588,27.807483953192715,0.1624135,0.105928004,10975000,400.33066844940186,0.000438485,150.16,109750,4.266207,0.011400817,0.8905460759997368,439,52411
2.0876603,25.105896070674063,0.15964524,0.029083997,11000000,401.2015986442566,-0.00044586835,134.9,110000,4.2635875,0.003638535,0.8957281336188316,440,45287
1.8707163,26.654487365074456,0.16229492,0.058987997,11025000,402.12953996658325,-0.00044004194,142.52,110250,4.2607384,0.0063375505,0.8954776078462601,441,52625
2.320768,20.528946838751434,0.1619838,0.09017199,11050000,402.983558177948,0.00078321435,110.03,110500,4.2571096,0.008877061,0.8695120960474014,442,52350
1.6918609,25.08211299289367,0.16469958,0.1324,11075000,403.8504626750946,0.0036416021,134.73,110750,4.2547464,0.012709287,0.8962178602814674,443,52043
2.0859563,25.673864102065565,0.16375458,0.048908,11100000,404.7115988731384,-0.0006438495,137.84,111000,4.25315,0.0048287776,0.8774958848953247,444,51792
1.9404253,27.222543516084553,0.16383174,0.12519601,11125000,405.58038783073425,0.003239549,145.21,111250,4.2515173,0.017113024,0.8860680088400841,445,52199
1.6860731,29.00733034377743,0.16465124,0.15633199,11150000,406.43188524246216,0.006072314,155.75,111500,4.249482,0.020342415,0.899745911359787,446,52425
2.1549585,26.7266504701972,0.1637912,0.091428,11175000,407.28774976730347,0.00016469319,143.48,111750,4.2454395,0.008164467,0.8695828169584274,447,53468
1.934139,27.9379992364347,0.16493778,0.034816004,11200000,408.12986183166504,-0.00088219286,149.48,112000,4.2403293,0.0040241396,0.8733617812395096,448,53549
1.7034442,28.602158619165422,0.16198978,0.16493599,11225000,408.98125314712524,0.0029857114,155.01,112250,4.2355027,0.017047558,0.9010417982935905,449,45055
1.701059,30.644775722026825,0.16221672,0.0582,11250000,409.91542530059814,-0.0007079261,168.48,112500,4.232426,0.005964735,0.8983588218688965,450,50575
1.7895877,29.15598240457475,0.1631899,0.20115201,11275000,410.80185770988464,0.008482467,158.0,112750,4.2294564,0.023564834,0.8985799252986908,451,52537
1.9892995,27.350275494112864,0.15945058,0.124008,11300000,411.6613368988037,0.002862384,148.86,113000,4.2266893,0.013936239,0.8948803171515465,452,53322
1.6473417,32.29514028215315,0.16738705,0.179636,11325000,412.510457277298,0.0064453096,174.25,113250,4.2238483,0.022014562,0.902544416487217,453,53387
1.8589042,29.541886495517684,0.16323757,0.154536,11350000,413.3646991252899,0.0046946136,160.4,113500,4.221999,0.023939485,0.8950119540095329,454,52120
1.6213582,33.1270907458663,0.16594122,0.042284,11375000,414.2399799823761,-0.0021264225,178.9,113750,4.2206993,0.004707508,0.9085075631737709,455,52096
1.7295231,30.808302911445498,0.16511147,0.060552,11400000,415.1053421497345,-0.002828064,165.04,114000,4.2184,0.0063250153,0.9053540155291557,456,52308
1.8111689,30.02141464203596,0.1632925,0.114892006,11425000,415.9818482398987,-0.00013813403,162.18,114250,4.2117357,0.014740929,0.9003133997321129,457,52286
1.8480641,31.72925846941769,0.16453835,0.13616,11450000,416.861257314682,0.004655258,171.04,114500,4.203129,0.049650177,0.9017717689275742,458,48796
1.4317033,34.279540166589435,0.16731203,0.28772798,11475000,417.7635746002197,0.015679684,185.83,114750,4.197628,0.03592087,0.9196853712201118,459,54142
1.4611524,36.33497585005098,0.16784142,0.14254801,11500000,418.6051559448242,0.0030594815,197.6,115000,4.193927,0.012683129,0.91429353505373,460,51717
1.5072165,33.51068069279194,0.16496685,0.23043199,11525000,419.4652855396271,0.010422549,180.48,115250,4.1900105,0.04251303,0.9216510206460953,461,52757
1.4485649,33.963807641416786,0.16734053,0.146636,11550000,420.3349390029907,0.0025896144,182.6,115500,4.186305,0.01263424,0.9173575863242149,462,53153
1.597678,31.916242213398217,0.16642854,0.228056,11575000,421.18365359306335,0.00793648,171.16,115750,4.1829867,0.027992472,0.9149355813860893,463,52777
1.601594,34.39865149398815,0.16884328,0.146796,11600000,422.0351526737213,0.0013663566,187.0,116000,4.180848,0.015481653,0.9068997800350189,464,54161
1.7877095,32.72144869783893,0.16354778,0.092804,11625000,422.8745789527893,0.0007812825,178.44,116250,4.177654,0.008963006,0.9083019495010376,465,54274
1.7198175,34.56226521871984,0.16820094,0.139164,11650000,423.7190818786621,0.002194283,185.9,116500,4.1736503,0.013661213,0.903501883149147,466,52975
1.6400887,32.22849666921888,0.16421904,0.220396,11675000,424.57529854774475,0.007499218,173.79,116750,4.1693563,0.024825204,0.9177291765809059,467,53519
1.6096083,36.02447309165669,0.16923803,0.102060005,11700000,425.42141222953796,-4.3450455e-05,193.88,117000,4.1661034,0.021624938,0.9078932553529739,468,52583
1.5348148,33.50100185960531,0.16679938,0.108807996,11725000,426.27764558792114,0.0006685945,180.84,117250,4.1609387,0.053447295,0.9164747670292854,469,52689
1.5417032,33.911699848361316,0.1672267,0.04852,11750000,427.14092087745667,-0.0017112952,181.43,117500,4.1562576,0.006463539,0.9195233285427094,470,52707
1.5896248,35.193064197748896,0.16872431,0.139128,11775000,428.00136280059814,0.0030139214,188.87,117750,4.152663,0.015541064,0.9123940467834473,471,52990
