time_elapsed,ep_reward_mean,fps,policy_loss,clipfrac,serial_timesteps,total_timesteps,ep_len_mean,true_reward,n_updates,value_loss,policy_entropy,approxkl,explained_variance
29.518227100372314,0.0,48044,0.0036460846,0.097964,7500,750000,0.0,0.018715596,30,0.1509498,5.583493,0.008242624,0.7740850448608398
30.476628303527832,0.0,45059,0.005483497,0.07777201,7750,775000,0.0,0.027715856,31,0.27661532,5.578047,0.008477557,0.761156752705574
31.434869050979614,0.0,45584,-6.856707e-05,0.093664,8000,800000,0.0,0.033276185,32,0.25209913,5.5718784,0.0073377714,0.7776321619749069
32.357422828674316,0.17632985785603522,45453,0.009321116,0.178316,8250,825000,0.9,0.036129776,33,0.26217613,5.5634985,0.017364575,0.7776068598031998
33.30804753303528,0.13894329518079757,47349,-0.00015345153,0.216132,8500,850000,0.71,0.031483427,34,0.28225073,5.5524507,0.02137304,0.7866951674222946
34.26960515975952,0.0,47536,0.0006452204,0.064408,8750,875000,0.0,0.024944788,35,0.24622884,5.54319,0.005779997,0.7565203309059143
35.18145203590393,0.0879036197066307,39479,0.0064256676,0.141788,9000,900000,0.45,0.039476465,36,0.4246025,5.5354667,0.014296124,0.8013558834791183
36.20590853691101,0.08049220040440559,47108,-0.0018774408,0.034036,9250,925000,0.41,0.045887675,37,0.24718222,5.5280366,0.0035748403,0.7950659841299057
37.12008714675903,0.4443330392241478,46127,-0.0028303978,0.059212,9500,950000,2.27,0.05191739,38,0.32398227,5.5177717,0.005776229,0.809272825717926
38.07235407829285,0.29705881342291834,43796,-0.002291907,0.0454,9750,975000,1.52,0.051794488,39,0.369924,5.507992,0.0045308946,0.7854791879653931
39.072741985321045,0.2507284341752529,42856,0.0013164461,0.09718399,10000,1000000,1.28,0.069784075,40,0.35675538,5.4997764,0.008100071,0.8027835786342621
40.06383037567139,0.9055813865363598,44666,0.018742587,0.22350001,10250,1025000,4.63,0.0853504,41,0.39057916,5.492125,0.02935938,0.7782525271177292
41.051212549209595,0.590409864038229,47876,-0.0024354365,0.037391998,10500,1050000,3.02,0.08422909,42,0.44596753,5.4852586,0.003983454,0.780179813504219
42.02907705307007,0.8671312265098094,40456,0.0015641504,0.096936,10750,1075000,4.43,0.08643546,43,0.6522606,5.4759927,0.008101075,0.7792602181434631
43.02934670448303,0.6037781503796578,47860,0.049997997,0.33762798,11000,1100000,3.08,0.08989259,44,0.4724497,5.467923,0.122948945,0.7875590473413467
44.03847122192383,0.753619222342968,47404,0.02087563,0.276572,11250,1125000,3.85,0.09358958,45,0.5125297,5.461764,0.035234924,0.7813001722097397
