true_reward,value_loss,approxkl,policy_loss,ep_reward_mean,total_timesteps,policy_entropy,serial_timesteps,time_elapsed,explained_variance,clipfrac,ep_len_mean,fps,n_updates
-0.0070563927,0.05731135,0.002691801,-0.0016774398,1.55649330297907,1300000,5.217989,13000,47.97427201271057,0.9585091918706894,0.02272,70.15,61013,52
-0.011067931,0.054169625,0.003039983,-0.0022351337,1.5661801699122158,1325000,5.205399,13250,48.79027199745178,0.9628387913107872,0.028612003,67.61,62062,53
-0.0060353642,0.057531286,0.0024042742,-0.0014718738,1.620301060266987,1350000,5.1926994,13500,49.59992718696594,0.9616626240313053,0.018223999,83.09,62085,54
-0.005863035,0.05213068,0.0025263797,-0.0015537755,1.75807979886853,1375000,5.1830926,13750,50.42009735107422,0.9650034755468369,0.019315999,85.47,57791,55
-0.008833231,0.056777745,0.0023733068,-0.0016683117,1.6873174375081477,1400000,5.1718655,14000,51.26229786872864,0.9632412269711494,0.018044,70.67,60799,56
-0.0065160375,0.062800065,0.0018545873,-0.0014904296,1.6050760954070211,1425000,5.1585364,14250,52.109785318374634,0.9561150409281254,0.013340001,73.81,60489,57
-0.005076693,0.05359914,0.0024535256,-0.0017256858,1.8569522480358795,1450000,5.1475444,14500,52.93182826042175,0.9600955471396446,0.019003998,89.95,61312,58
-0.0089628305,0.058364928,0.0032958589,-0.0018539082,1.479632821062462,1475000,5.135211,14750,53.76496720314026,0.9617927111685276,0.030724,69.91,61308,59
-0.0049339025,0.05253616,0.0025373357,-0.0015005204,1.7153220181945563,1500000,5.1256876,15000,54.58793115615845,0.9636271819472313,0.020615999,82.72,58711,60
-0.005999334,0.05337993,0.0018458875,-0.0012032205,1.7992234446565465,1525000,5.1173425,15250,55.429317474365234,0.9661297313869,0.010736,78.24,59192,61
-0.0056323926,0.054087806,0.0030159557,-0.0018822703,1.557135909013823,1550000,5.1064434,15500,56.27334761619568,0.9637548960745335,0.02556,73.76,60951,62
-0.0052125966,0.066600576,0.0024203418,-0.0023378509,1.6200518652023004,1575000,5.0966554,15750,57.087849617004395,0.9559967704117298,0.022232,70.71,60744,63
-0.002517422,0.054961286,0.0020641752,-0.0013942897,1.978681004583832,1600000,5.087481,16000,57.93287014961243,0.9633964151144028,0.013356,86.97,56936,64
-0.00573756,0.062328048,0.002268285,-0.0017339399,1.6174737954719558,1625000,5.078037,16250,58.79995632171631,0.9597161523997784,0.018172,77.1,52247,65
-0.0016509988,0.06809416,0.0033609874,-0.0019919272,1.907584002720315,1650000,5.066154,16500,59.70027565956116,0.9581449329853058,0.032640003,74.68,61263,66
-0.004523334,0.06718098,0.0023602555,-0.0019061908,1.7540288915657538,1675000,5.0554395,16750,60.52309536933899,0.9581641964614391,0.020084,75.87,59220,67
-0.002280333,0.056433268,0.0023896252,-0.0021717749,1.7193106260878175,1700000,5.0440016,17000,61.3536913394928,0.9617904685437679,0.02258,80.98,60166,68
-0.0051685665,0.060662054,0.0028535093,-0.0018369317,1.6143706087259306,1725000,5.0314417,17250,62.191872119903564,0.9601210355758667,0.025176,71.96,59594,69
-0.004637861,0.071298376,0.0028046258,-0.0023221676,1.5876794568954393,1750000,5.0168643,17500,63.033204555511475,0.9545231759548187,0.025204,67.64,62147,70
-0.005530236,0.065330334,0.0026684008,-0.0018288295,1.8084481015752272,1775000,5.002056,17750,63.847989082336426,0.9555906914174557,0.02298,77.3,60167,71
-0.0036213417,0.055292487,0.00199498,-0.0018619329,1.752705051705518,1800000,4.9895353,18000,64.69492292404175,0.9621899425983429,0.015456,81.35,61367,72
-0.0032492871,0.05214594,0.003371078,-0.0025314612,1.7032751654470486,1825000,4.9796004,18250,65.51698398590088,0.9651854485273361,0.033935998,69.99,61633,73
-0.0036090948,0.0642062,0.0026323735,-0.0018586004,1.8266665691214166,1850000,4.969153,18500,66.33154582977295,0.9574245288968086,0.02418,72.29,61610,74
-0.0029622302,0.058809675,0.0018197153,-0.0016925385,1.9363157569622538,1875000,4.957559,18750,67.13944244384766,0.9622725546360016,0.010407999,74.92,60495,75
-0.006526023,0.056561537,0.0030389607,-0.0021024565,1.5850859266965016,1900000,4.945642,19000,67.9774580001831,0.96324348077178,0.029984001,68.15,59880,76
-0.002810181,0.057298947,0.0034264647,-0.0024082896,2.002760306739765,1925000,4.9370184,19250,68.81439638137817,0.9626894630491734,0.033248,80.44,62292,77
-0.0017115744,0.06275316,0.0027566154,-0.0019402445,2.1699495279157612,1950000,4.9245462,19500,69.63160061836243,0.9559269957244396,0.026424,83.68,60285,78
3.7834987e-05,0.054546066,0.0036655194,-0.0025242628,2.0810268526733124,1975000,4.910713,19750,70.4507086277008,0.9629852026700974,0.040912,82.26,58354,79
-0.002719553,0.053483356,0.0022003842,-0.001831194,2.098154168078654,2000000,4.894006,20000,71.3172242641449,0.965280931442976,0.016152,78.86,60328,80
-0.0019529631,0.05673458,0.0027572417,-0.0022426615,2.0065074460280994,2025000,4.8780003,20250,72.14453554153442,0.9614635221660137,0.024708001,77.93,61210,81
