serial_timesteps,approxkl,time_elapsed,clipfrac,total_timesteps,policy_entropy,n_updates,ep_len_mean,explained_variance,policy_loss,true_reward,ep_reward_mean,value_loss,fps
15250,16856.879,12.298734426498413,0.8959999,15250,5.6533823,61,0.99,-234001.25,0.056096196,-0.03331604,-0.03295349188148975,2.533481,2231
15500,158193.45,12.445148468017578,0.8891999,15500,5.6527157,62,0.99,-4266396.0,0.056976415,-0.033326373,-0.03295349188148975,6.0997,2267
15750,61159.65,12.590380668640137,0.8947999,15750,5.6525564,63,0.99,-7162048.5,0.060872056,-0.033260662,-0.03295349188148975,10.415657,2163
16000,867779.9,12.740317344665527,0.8967999,16000,5.652629,64,0.99,-1673679.5,0.043568507,-0.03325303,-0.03295348100364208,3.1859648,2203
16250,124237.85,12.888808012008667,0.8964,16250,5.6500354,65,0.99,-1608988.625,0.19653486,-0.028677383,-0.02815350204706192,24.545181,2296
16500,17168.824,13.03292179107666,0.89159995,16500,5.6487255,66,0.99,-150311.6875,0.05119426,-0.027560782,-0.027287045381963252,4.0649815,2165
16750,111405.516,13.18299412727356,0.88199997,16750,5.6483192,67,0.99,-14212.1494140625,0.18149784,-0.02757517,-0.027287017088383436,1.385673,1880
17000,37820.78,13.351212739944458,0.8948,17000,5.64824,68,0.99,-43310.30078125,0.20926902,-0.02752759,-0.02717137474566698,1.1704677,2169
17250,188619.78,13.501267671585083,0.89439994,17250,5.648225,69,0.99,-15853.1904296875,0.37144047,-0.027491877,-0.02717137474566698,2.7012005,2250
17500,24249.016,13.647872924804688,0.88920003,17500,5.6482234,70,0.99,-144968.28125,0.14180443,-0.027537273,-0.02717137474566698,5.823274,2217
17750,28425.25,13.795509576797485,0.8959999,17750,5.64822,71,0.99,-49128.6015625,0.32603237,-0.027490368,-0.02717137474566698,17.509083,1082
18000,6354.17,14.061415433883667,0.8959999,18000,5.647972,72,0.99,-189304.875,0.33107647,-0.027533887,-0.02717137474566698,4.367439,2234
18250,113949.52,14.208479166030884,0.89519995,18250,5.6477995,73,0.99,-27592.66796875,0.33542758,-0.027585847,-0.027287017088383436,2.3715007,2181
18500,61126.363,14.357538938522339,0.89559996,18500,5.6476774,74,0.99,-120496.2890625,0.43466172,-0.027577251,-0.027287017088383436,4.1719933,2203
18750,10469.35,14.505592584609985,0.89519995,18750,5.6476393,75,0.99,-65875.84375,0.36268097,-0.027452225,-0.02717137474566698,4.2300196,2223
19000,164156.84,14.653102159500122,0.88839996,19000,5.6475406,76,0.99,-47175.57421875,0.056375347,-0.02756157,-0.02717137474566698,4.180814,2197
19250,5585.5806,14.802242755889893,0.8815999,19250,5.646952,77,0.99,-152535.171875,0.19952594,-0.02756967,-0.02717137474566698,3.0683455,2225
19500,113.23894,14.949591398239136,0.8592,19500,5.6466703,78,0.99,-6334.1552734375,0.16448142,-0.027519753,-0.02717137474566698,0.69277847,2159
19750,592831.6,15.10083270072937,0.8964,19750,5.6462035,79,0.99,-1304.755859375,0.34956402,-0.027504606,-0.02717137474566698,2.2295709,2173
20000,20768.871,15.251174926757812,0.89559996,20000,5.6458206,80,0.99,-78618.9609375,0.062235467,-0.027528789,-0.02717137474566698,4.0707493,2262
20250,2155.1333,15.396125793457031,0.88759995,20250,5.6456795,81,0.99,-51541.46875,0.37522632,-0.027557813,-0.02717137474566698,3.7899024,2138
20500,18639.5,15.54770302772522,0.89439994,20500,5.6456556,82,0.99,-7722.1083984375,0.34506506,-0.02755144,-0.02717137474566698,2.070022,2231
20750,29873.291,15.694969892501831,0.88479996,20750,5.645431,83,0.99,-47380.9609375,0.32093248,-0.027504314,-0.02717137474566698,14.037836,2212
21000,161341.67,15.843199014663696,0.8851999,21000,5.644555,84,0.99,-201107.5625,0.32932302,-0.02748887,-0.02717137474566698,6.0978117,2149
21250,146862.55,15.99402928352356,0.8964,21250,5.6441984,85,0.99,-22629.18359375,0.3067251,-0.027536899,-0.02717137474566698,5.8358583,2255
21500,34975.37,16.140623092651367,0.89519995,21500,5.6440706,86,0.99,-287226.8125,0.3594182,-0.02747265,-0.02717137474566698,11.925027,2258
21750,872.7619,16.286285161972046,0.8896,21750,5.643914,87,0.99,-16442.919921875,0.28717834,-0.027489174,-0.02717137474566698,4.97746,2170
22000,853374.6,16.436942100524902,0.87319994,22000,5.642821,88,0.99,-56129.21484375,0.24522576,-0.027496671,-0.02717137474566698,4.102901,2227
22250,54204.094,16.583969593048096,0.89399993,22250,5.6424766,89,0.99,-369549.375,0.34075364,-0.027456133,-0.02717137474566698,6.058078,2227
22500,350482.94,16.73217487335205,0.8948,22500,5.6423006,90,0.99,-9666.568359375,0.3382661,-0.027541302,-0.02717137474566698,3.7877827,2231
22750,46242.81,16.87942147254944,0.8936,22750,5.642029,91,0.99,-132826.0625,0.33708724,-0.027512733,-0.02717137474566698,3.9661477,2158
23000,380913.84,17.030843019485474,0.8931999,23000,5.641874,92,0.99,-344028.6875,0.2954412,-0.027511168,-0.02717137474566698,6.1130056,2121
23250,88757.29,17.183348894119263,0.89399993,23250,5.64153,93,0.99,-144318.25,0.3793996,-0.027493197,-0.02717137474566698,5.3275995,2149
23500,27010.49,17.334563493728638,0.89,23500,5.641385,94,0.99,-237935.140625,0.2955335,-0.027623275,-0.027287017088383436,5.687089,2269
23750,13006.98,17.48042869567871,0.8507999,23750,5.6415715,95,0.99,-41965.44140625,0.128842,-0.02750804,-0.02717137474566698,4.2598248,2121
24000,8715.564,17.632853984832764,0.86639994,24000,5.6417212,96,0.99,-37504.546875,0.28153744,-0.027508518,-0.02717137474566698,3.23003,2268
24250,10750.489,17.77930235862732,0.896,24250,5.6417913,97,0.99,-148475.578125,-0.018549066,-0.027545111,-0.02717137474566698,6.0108294,1614
24500,58796.812,17.96993398666382,0.8851999,24500,5.6418405,98,0.99,-5665.9716796875,0.22880802,-0.027515957,-0.02717137474566698,4.7350965,2165
24750,1881.3625,18.120954513549805,0.89119995,24750,5.641875,99,0.99,-73780.9453125,0.05425092,-0.027544664,-0.02717137474566698,3.9104557,2219
25000,64.52911,18.26931643486023,0.8604,25000,5.6418924,100,0.99,-137595.3125,0.016676594,-0.027578391,-0.027287017088383436,4.4257836,2106
25250,126395.52,18.423302173614502,0.8447999,25250,5.642027,101,0.99,-39159.37890625,0.17121315,-0.027503604,-0.02717137474566698,3.2103856,2154
25500,3801.8687,18.574983835220337,0.89439994,25500,5.642702,102,0.99,-7035.4228515625,0.3297391,-0.027553434,-0.02717137474566698,2.4184914,2185
25750,78914.46,18.72565007209778,0.8615999,25750,5.6431017,103,0.99,-56410.359375,0.27848178,-0.0274859,-0.02717137474566698,4.4806147,1305
26000,99816.05,18.95296621322632,0.89519995,26000,5.643527,104,0.99,-27386.728515625,0.4148453,-0.027567599,-0.02717137474566698,4.319953,2165
26250,4218.7803,19.102909088134766,0.8919999,26250,5.6437464,105,0.99,-16605.15625,0.31911105,-0.02749981,-0.02717137474566698,3.630965,2209
26500,1258.9587,19.251810550689697,0.8863999,26500,5.643825,106,0.99,-26867.38671875,0.044612795,-0.027606228,-0.027287017088383436,1.5898715,2180
26750,258186.08,19.401400804519653,0.8964,26750,5.643855,107,0.99,-27882.41796875,0.4603606,-0.027558053,-0.02717137474566698,0.85072404,2252
27000,298843.66,19.547425746917725,0.8959999,27000,5.6436205,108,0.99,-22555.8828125,0.37411788,-0.027498947,-0.02717137474566698,1.9604175,2225
27250,10005.552,19.694335222244263,0.89559996,27250,5.6425147,109,0.99,-106495.4296875,0.05796052,-0.021827133,-0.021504899952560663,1.5742902,2294
27500,838810.4,19.837911367416382,0.88640004,27500,5.6418586,110,0.99,-22790.6171875,0.061641842,-0.021763977,-0.021504899952560663,0.8625962,1898
27750,77639.77,20.00466227531433,0.8964,27750,5.6424484,111,0.99,-801116.125,0.35841691,-0.027506204,-0.02717137474566698,19.754456,2192
28000,111812.67,20.15399146080017,0.8948,28000,5.642536,112,0.99,-185988.703125,0.3587783,-0.027528858,-0.02717137474566698,5.708311,2222
28250,602318.44,20.301314115524292,0.8936,28250,5.641926,113,0.99,-12863.677734375,0.2999321,-0.027551325,-0.02717137474566698,5.406995,2300
28500,80537.14,20.445001125335693,0.89559996,28500,5.637017,114,0.99,-37422.11328125,0.1164213,-0.027485179,-0.02717137474566698,6.237859,2254
28750,4119.4834,20.591352939605713,0.89519995,28750,5.6337843,115,0.99,-17757.048828125,0.27453408,-0.027508844,-0.02717137474566698,6.2068853,2244
29000,232348.78,20.737815856933594,0.89159995,29000,5.63247,116,0.99,-23654.25,0.2372205,-0.027548755,-0.02717137474566698,9.430036,1867
29250,15033.263,20.907022714614868,0.8795999,29250,5.628776,117,0.99,-25153.5390625,0.24351314,-0.027513407,-0.02717137474566698,0.7573775,2162
29500,33452.72,21.057626962661743,0.88079995,29500,5.626344,118,0.99,-97581.4921875,0.28359905,-0.027527655,-0.02717137474566698,4.2878714,2235
29750,170292.4,21.205178022384644,0.88759995,29750,5.6254916,119,0.99,-4866.34130859375,0.31414953,-0.027549904,-0.02717137474566698,4.504634,2278
30000,282512.3,21.35062861442566,0.8928,30000,5.624949,120,0.99,-46141.40234375,0.34471172,-0.027488157,-0.02717137474566698,5.346644,2160
30250,149901.36,21.501630783081055,0.89559996,30250,5.62374,121,0.99,-54748.69921875,0.16135325,-0.027468713,-0.02717137474566698,2.2114625,2189
30500,50738.344,21.65154266357422,0.89559996,30500,5.623094,122,0.99,-4873.380859375,0.3315615,-0.027541893,-0.02717137474566698,1.2954489,2124
30750,26451.395,21.804316759109497,0.8716,30750,5.6228495,123,0.99,-304938.21875,0.10891193,-0.02760578,-0.027287017088383436,6.512435,2170
31000,29962.137,21.95432472229004,0.8964,31000,5.622624,124,0.99,-10492.4443359375,0.35462293,-0.0275159,-0.02717137474566698,1.0249674,2215
31250,90832.016,22.102996349334717,0.89519995,31250,5.622525,125,0.99,-55310.44140625,0.32909864,-0.027620409,-0.027287017088383436,1.8158487,2114
31500,88426.99,22.256630659103394,0.89439994,31500,5.622664,126,0.99,-13180.29296875,0.2854916,-0.02753114,-0.02717137474566698,3.7755604,2153
31750,312652.1,22.408819437026978,0.8948,31750,5.6236353,127,0.99,-17873.203125,0.26214284,-0.027559021,-0.027287017088383436,1.78422,1573
32000,648.90576,22.603293418884277,0.89559996,32000,5.623707,128,0.99,-28442.890625,0.23609562,-0.02753098,-0.02717137474566698,1.4904855,2231
32250,19793.59,22.75044894218445,0.866,32250,5.624013,129,0.99,-8566.0439453125,0.21561031,-0.027521597,-0.02717137474566698,3.8818989,2120
32500,196134.28,22.904398918151855,0.8959999,32500,5.6264157,130,0.99,-218.8386993408203,0.31276718,-0.027560303,-0.02717137474566698,0.9060589,2087
32750,124706.414,23.06004285812378,0.8964,32750,5.627845,131,0.99,-3228.28955078125,0.30467236,-0.027501611,-0.02717137474566698,1.903022,2169
33000,2171.5312,23.21014666557312,0.89,33000,5.628348,132,0.99,-132100.8125,0.31833595,-0.027531786,-0.02717137474566698,5.0177445,2142
33250,12301.236,23.362041234970093,0.8872,33250,5.628537,133,0.99,-204445.828125,0.29979944,-0.02758963,-0.027287017088383436,4.757008,2193
33500,115462.266,23.51167631149292,0.8936,33500,5.628764,134,0.99,-29026.451171875,0.3291729,-0.027568668,-0.02717137474566698,3.446362,2104
33750,38188.973,23.665531158447266,0.8959999,33750,5.629018,135,0.99,-19271.16796875,0.22219355,-0.027523145,-0.02717137474566698,1.07038,2203
34000,442.2587,23.814130544662476,0.8728,34000,5.629148,136,0.99,-44712.60546875,0.08431147,-0.027519086,-0.02717137474566698,1.9439892,2220
34250,375314.75,23.961732625961304,0.8964,34250,5.62948,137,0.99,-3014.56787109375,0.044914924,-0.027511084,-0.02717137474566698,0.9480365,2207
34500,86489.54,24.110211610794067,0.89239997,34500,5.629672,138,0.99,-5713.1787109375,0.19686277,-0.02756563,-0.027171375565230846,1.5220083,2199
34750,42267.07,24.25970435142517,0.89119995,34750,5.629736,139,0.99,-945.6702270507812,0.22967525,-0.027564587,-0.027171378880739214,1.4378592,2108
35000,5423.2275,24.41298532485962,0.8851999,35000,5.6297493,140,0.99,-50594.9609375,0.30340537,-0.027521165,-0.02717137474566698,9.089983,2257
35250,175908.88,24.55932378768921,0.89,35250,5.6292853,141,0.99,-4738.90771484375,0.23276529,-0.027535582,-0.02717137474566698,10.063423,2192
35500,427956.7,24.708871126174927,0.8959999,35500,5.6245136,142,0.99,-141350.25,0.37548253,-0.027496196,-0.02717137474566698,3.0598004,2178
35750,247021.67,24.859214305877686,0.8964,35750,5.621324,143,0.99,-66619.515625,0.3588404,-0.02761756,-0.027287017088383436,1.6897151,2095
36000,38280.688,25.014607191085815,0.88879997,36000,5.620156,144,0.99,-59960.8125,0.34919378,-0.027502693,-0.02717137474566698,2.9834166,1533
36250,1894.7439,25.2128849029541,0.8928,36250,5.619849,145,0.99,-55532.16015625,0.32841313,-0.027543953,-0.02717137474566698,4.502532,2208
36500,1496.5214,25.361875534057617,0.89239997,36500,5.62012,146,0.99,-5695.32421875,0.33282068,-0.027543418,-0.02717137474566698,4.513223,1838
36750,146036.36,25.53461527824402,0.88599986,36750,5.6220474,147,0.99,-26408.6015625,0.26131237,-0.027588703,-0.02717137474566698,2.7588992,2144
37000,52025.85,25.685842514038086,0.8872,37000,5.622464,148,0.99,-72629.5625,0.2853004,-0.027492706,-0.02717137474566698,3.6498675,2221
37250,114069.125,25.83296847343445,0.8896,37250,5.6223354,149,0.99,-158515.078125,0.38114262,-0.027537946,-0.02717137474566698,5.199587,2166
