value_loss,clipfrac,policy_entropy,explained_variance,serial_timesteps,ep_len_mean,n_updates,fps,policy_loss,true_reward,time_elapsed,total_timesteps,approxkl,ep_reward_mean
0.26601222,0.0284,4.5308022,0.8826121836900711,98000,247.67,392,49110,-0.0017065238,0.034084883,345.3387174606323,9800000,0.0034612366,8.63707297139801
0.74427,0.068092,4.524724,0.7161822319030762,98250,231.66,393,53713,-0.0009471276,0.026706431,346.23591351509094,9825000,0.005425873,7.884300956460647
0.4390153,0.058032006,4.5207987,0.7859723716974258,98500,246.87,394,51373,-0.001461438,0.032983787,347.08589601516724,9850000,0.004870264,8.556638027184526
0.3613395,0.029415999,4.5203743,0.8310468792915344,98750,247.53,395,54669,-0.0022163424,0.035595417,347.94451093673706,9875000,0.0032137327,9.01130874424707
0.27433604,0.047048002,4.5150814,0.8211814165115356,99000,250.0,396,53575,-0.0015495169,0.03454831,348.77553701400757,9900000,0.004193986,8.637078305909817
0.40624714,0.040592,4.508769,0.7984143644571304,99250,246.26,397,53517,-0.0016450596,0.0331963,349.67202615737915,9925000,0.0038295505,8.571856815458741
0.2695713,0.035708,4.5018983,0.8473833054304123,99500,247.62,398,52555,-0.0015331879,0.03419887,350.52711749076843,9950000,0.003465106,8.656865411959007
0.25180978,0.05758,4.499297,0.8354070633649826,99750,250.0,399,48386,-0.002022978,0.033845995,351.4146411418915,9975000,0.0047735167,8.461498297904619
0.2114356,0.058492005,4.495454,0.8475499749183655,100000,247.69,400,53632,-0.0019174215,0.03082376,352.3632233142853,10000000,0.004996809,7.819006277723238
0.3278825,0.025551999,4.4870305,0.8260485231876373,100250,247.93,401,47276,-0.0013039213,0.037236642,353.24920415878296,10025000,0.0029168865,9.43507457965985
0.33899453,0.043332003,4.4820623,0.8592812716960907,100500,245.27,402,55320,-0.0015804762,0.03557193,354.1696848869324,10050000,0.004147214,9.10741770463006
0.37511787,0.029628003,4.480558,0.8065751492977142,100750,243.95,403,54935,-0.00086487236,0.03158123,355.0246343612671,10075000,0.0032200038,8.28621202121314
0.23905285,0.048908003,4.483155,0.8453897386789322,101000,248.01,404,54371,-0.001233989,0.031102277,355.86701464653015,10100000,0.0043390337,7.807476028725505
0.4072811,0.028007999,4.4796524,0.7790084481239319,101250,246.07,405,51669,-0.0015477476,0.033224914,356.70500683784485,10125000,0.0032199093,8.566631552775288
0.26288453,0.049664,4.475482,0.8371013253927231,101500,247.55,406,54214,-0.0016334789,0.03374821,357.5733301639557,10150000,0.0044274842,8.545789886415005
0.48154563,0.055788003,4.4738774,0.7491433322429657,101750,240.96,407,54110,-0.0019427749,0.031901196,358.4196639060974,10175000,0.004832501,8.331160363443196
0.36725384,0.060392004,4.475967,0.7789410054683685,102000,245.37,408,53679,-0.0017066095,0.033874318,359.2614140510559,10200000,0.005342421,8.684341000481508
0.33355182,0.028832,4.4742765,0.7965903431177139,102250,245.93,409,55580,-0.0011715003,0.032742213,360.10720586776733,10225000,0.0032908123,8.445731832822785
0.41804448,0.051672,4.468227,0.8248766213655472,102500,244.33,410,54222,-0.0017423367,0.03314745,360.93179655075073,10250000,0.00447807,8.705146925062872
0.31836376,0.026247999,4.4654136,0.9224505722522736,102750,240.96,411,53525,-0.00094370067,0.033996876,361.7854051589966,10275000,0.0030488516,8.962647540634498
0.2828229,0.031420004,4.463723,0.9311839416623116,103000,247.6,412,53352,-0.0019865208,0.03615432,362.62995862960815,10300000,0.0031744577,9.146133677083998
0.3790207,0.03318,4.458911,0.8842039927840233,103250,247.97,413,52379,-0.00089827797,0.038510375,363.48586440086365,10325000,0.0034378036,9.752942664725706
