true_reward,policy_loss,explained_variance,policy_entropy,value_loss,total_timesteps,fps,clipfrac,time_elapsed,approxkl,ep_reward_mean,serial_timesteps,ep_len_mean,n_updates
0.7587416,-0.002628584,0.46145451068878174,4.5911202,37.60436,13650000,75403,0.063528,423.28305768966675,0.005086566,184.52118303807262,136500,232.3,546
0.7632802,-0.0023167648,0.4245055317878723,4.5880327,39.703255,13675000,73857,0.090671994,423.98796010017395,0.0071173357,184.87196543613155,136750,232.44,547
0.778565,-0.0018694857,0.5573526322841644,4.584099,26.074017,13700000,75075,0.047828004,424.7059283256531,0.0042410423,189.6990704286518,137000,237.87,548
0.76932865,-0.0021996822,0.4398675560951233,4.580146,39.962128,13725000,73447,0.07941999,425.41707587242126,0.0061035445,189.5404872294765,137250,235.92,549
0.7792302,-0.0016708992,0.49292027950286865,4.5790553,34.822357,13750000,74872,0.05906,426.1358234882355,0.0048310244,188.00511220971146,137500,233.67,550
0.7710335,-0.0015646722,0.43698668479919434,4.5772104,43.681282,13775000,73287,0.055023998,426.86849546432495,0.004629962,184.95126323695112,137750,229.26,551
0.76250464,-0.002091218,0.49128633737564087,4.5725245,32.04556,13800000,76327,0.06720799,427.5821900367737,0.0053571286,186.3524354641991,138000,235.96,552
0.7682098,-0.00167084,0.39906495809555054,4.5653415,43.468483,13825000,73014,0.047723997,428.27660727500916,0.004391236,181.68413812615844,138250,227.01,553
0.77380264,-0.001843892,0.476632297039032,4.5553384,32.414543,13850000,65505,0.09569999,429.0065748691559,0.007248217,187.54604698227456,138500,235.7,554
0.7762656,-0.0019336743,0.37934738397598267,4.549176,36.38872,13875000,73383,0.133376,429.7811646461487,0.0098208655,189.29793047040687,138750,234.76,555
0.7850595,-0.0013390012,0.729532390832901,4.5464463,12.538702,13900000,72348,0.071048,430.49846172332764,0.0057510096,193.27344889277975,139000,243.79,556
0.7788503,-0.002596147,0.5217245221138,4.542812,28.721436,13925000,73409,0.07954,431.2160270214081,0.006056628,194.0960781997867,139250,241.89,557
0.7801102,-0.0019023081,0.5656665861606598,4.5393324,31.554358,13950000,74789,0.079368,431.91864347457886,0.006210678,191.85879760218177,139500,237.41,558
0.7602267,-0.0006515176,0.3780045509338379,4.538334,49.271324,13975000,67632,0.132896,432.62457513809204,0.010175597,178.78833987846068,139750,223.55,559
0.79844046,-0.002303558,0.54273721575737,4.5364394,23.935247,14000000,73408,0.091704,433.42109870910645,0.0071739666,192.5982983617211,140000,235.81,560
0.7879313,-0.0020099482,0.5949200689792633,4.5306726,20.898691,14025000,74668,0.070132,434.1748847961426,0.005687872,194.55978410503923,140250,241.72,561
