time_elapsed,explained_variance,ep_reward_mean,value_loss,n_updates,true_reward,policy_entropy,total_timesteps,ep_len_mean,policy_loss,serial_timesteps,clipfrac,fps,approxkl
304.12081241607666,0.9706899076700211,6.470044360431202,0.3728766,342,0.013239644,4.437522,8550000,193.24,-0.00197427,85500,0.0255,56293,0.002771018
304.931432723999,0.9578780680894852,6.67134874465242,0.5336677,343,0.015360122,4.431199,8575000,184.76,-0.0016723521,85750,0.037284,44270,0.0037454448
305.8457508087158,0.9558507315814495,7.148260735950289,0.5500621,344,0.013534431,4.426747,8600000,176.61,-0.0020645994,86000,0.043516,55151,0.004046199
306.65624165534973,0.947006568312645,7.37274586116524,0.64861214,345,0.017452765,4.4219284,8625000,182.04,-0.0020464244,86250,0.042012,50659,0.0040355884
307.51331543922424,0.9468271397054195,6.867077424409599,0.6921081,346,0.0081692925,4.416275,8650000,179.66,-0.0008176559,86500,0.031195998,54230,0.0032771726
308.3384938240051,0.9390203133225441,7.82301101531365,0.7916761,347,0.0134283705,4.410697,8675000,177.1,-0.002325647,86750,0.031952,55268,0.0033702143
309.15984177589417,0.9423169456422329,8.78873321773719,0.7356004,348,0.023455696,4.4036055,8700000,191.08,-0.0017363878,87000,0.030771997,56970,0.0032573175
309.9700219631195,0.9543862342834473,7.02446261697587,0.5894787,349,0.013652329,4.395665,8725000,178.31,-0.0016802117,87250,0.052204,55568,0.0045519667
310.7771360874176,0.9494270868599415,7.209549676937795,0.58293295,350,0.014445337,4.3887644,8750000,181.74,-0.0016235113,87500,0.025507998,55369,0.002985529
311.5894408226013,0.9385495968163013,7.699111129714356,0.6539273,351,0.01790962,4.3851247,8775000,192.08,-0.0018670198,87750,0.020664,54582,0.0027227814
312.4080626964569,0.9556877389550209,7.644422032544116,0.54239374,352,0.017930517,4.3833523,8800000,183.62,-0.0012939862,88000,0.023944,45173,0.0027313838
313.3108961582184,0.9472997114062309,7.910506500973359,0.6615016,353,0.017908383,4.379231,8825000,177.4,-0.00104401,88250,0.033232,54801,0.0035230282
314.1240601539612,0.9486158825457096,7.8947284082664195,0.6067584,354,0.02066806,4.3733997,8850000,188.16,-0.0006243708,88500,0.061784,56729,0.0053215246
314.9186990261078,0.9447208009660244,7.8680248379910065,0.6723126,355,0.01477076,4.369536,8875000,182.76,-0.00037739243,88750,0.047080003,48894,0.0044692345
315.79019260406494,0.9487548433244228,8.820386322777448,0.58670676,356,0.025394917,4.3670816,8900000,190.78,-0.0016042299,89000,0.028099999,56893,0.0030729808
316.6104950904846,0.9512148424983025,7.4521754404762035,0.6050643,357,0.01569102,4.3644896,8925000,183.28,-0.0015965967,89250,0.030024001,52768,0.0033393675
317.46346783638,0.9440302364528179,8.29996231342283,0.69991004,358,0.018862028,4.3558526,8950000,181.23,-0.001972787,89500,0.026595999,54368,0.0029596512
318.2964491844177,0.9530023820698261,7.717666941560292,0.6145422,359,0.01926345,4.346759,8975000,175.45,-0.0018373387,89750,0.049676005,53906,0.0044071106
319.13755679130554,0.9450499042868614,7.773022184258989,0.692569,360,0.02030213,4.3406053,9000000,180.71,-0.0017057757,90000,0.025012001,55012,0.002897478
319.9750804901123,0.9333085417747498,10.170405545592903,0.75112253,361,0.0265762,4.335931,9025000,186.45,-0.0018359938,90250,0.031448,55156,0.0032984212
320.78974986076355,0.9522934481501579,6.723038829157279,0.59173745,362,0.013182569,4.3355703,9050000,166.24,-0.0014371173,90500,0.032252,50287,0.003327173
321.6529977321625,0.9432061985135078,8.219751669586444,0.66643107,363,0.02126492,4.3354344,9075000,190.12,-0.0018915359,90750,0.028372,55414,0.003213261
322.4985432624817,0.9595369249582291,7.253833895807183,0.47022814,364,0.016546698,4.336453,9100000,186.62,-0.0019780328,91000,0.026279997,53219,0.0028125718
323.35349774360657,0.9524579718708992,8.346822106815585,0.5035389,365,0.022069238,4.338337,9125000,193.4,-0.0014361122,91250,0.033152003,55727,0.0034426623
324.1966645717621,0.9401364400982857,7.772846273300856,0.7310847,366,0.020156717,4.3359904,9150000,185.89,-0.0016192343,91500,0.019687999,32414,0.0024242827
325.3402283191681,0.9504630602896214,8.456406099170723,0.51554036,367,0.026616655,4.3351946,9175000,211.03,-0.0015865152,91750,0.030016,56034,0.0031683638
