policy_loss,time_elapsed,explained_variance,approxkl,policy_entropy,ep_reward_mean,n_updates,clipfrac,value_loss,true_reward,fps,ep_len_mean,total_timesteps,serial_timesteps
0.17520198,109.91210007667542,-0.1382843255996704,23.727081,5.603898,6.344098035246134,107,0.7062119,3.4539223,0.19339748,51089,32.33,2675000,26750
0.18795957,110.80009412765503,-0.23072409629821777,1003.21515,5.6063914,6.611589476466179,108,0.811156,3.6740289,0.19336434,50866,33.69,2700000,27000
0.11902181,111.69674348831177,-0.5462591648101807,1.0912077,5.6078825,7.33858535900712,109,0.543224,4.976773,0.19343098,52455,37.37,2725000,27250
0.17253521,112.58799982070923,-0.4581664800643921,1.2449123,5.608815,7.140004222691059,110,0.64388794,3.9888275,0.19336396,51261,36.37,2750000,27500
0.055227578,113.50469255447388,-0.3836709260940552,19.364084,5.6102304,6.811751050800085,111,0.387496,5.475709,0.19326408,51878,34.7,2775000,27750
0.20875916,114.38276839256287,0.5127489864826202,4221.2217,5.6101985,6.999262558221817,112,0.79061997,1.8115814,0.19338527,51367,35.65,2800000,28000
0.18567526,115.28920817375183,0.6150419414043427,2.8690143,5.609679,6.934842033982277,113,0.64132804,1.582401,0.19352823,50800,35.32,2825000,28250
0.2771318,116.20496678352356,0.6878413558006287,145.22626,5.6127954,6.540904707014561,114,0.78720003,1.366608,0.19359605,50707,33.32,2850000,28500
0.16630909,117.11540246009827,0.3264102339744568,74.74661,5.617848,6.571414073705673,115,0.68128395,1.8869276,0.19368386,52168,33.48,2875000,28750
0.14013188,117.99156475067139,0.051841020584106445,6.730152,5.620935,5.59898339420557,116,0.575716,2.3225932,0.19376776,47756,28.54,2900000,29000
0.13763262,118.91076302528381,-0.26762545108795166,43.72843,5.6229043,5.537399249821902,117,0.65731204,3.1999538,0.19372833,50870,28.23,2925000,29250
0.13021378,119.80352783203125,0.2870538830757141,1.1624678,5.624682,6.227999442666769,118,0.54686004,2.2661102,0.19366077,50992,31.73,2950000,29500
0.18022573,120.70227408409119,-0.38414573669433594,1200.0173,5.625941,6.725472441464663,119,0.734628,2.9762473,0.19359685,52176,34.26,2975000,29750
0.17153761,121.5939450263977,-0.15444660186767578,4.8454494,5.62669,6.5461007346212865,120,0.66958797,3.6544316,0.19344348,51453,33.35,3000000,30000
