total_timesteps,serial_timesteps,value_loss,time_elapsed,true_reward,explained_variance,ep_len_mean,fps,n_updates,approxkl,policy_loss,clipfrac,ep_reward_mean,policy_entropy
950000,9500,0.12578273,39.86970400810242,0.03146112,0.7652127593755722,26.48,52008,38,0.002652125,-0.0021864797,0.022296,0.7403859256917167,5.4074893
975000,9750,0.12578012,40.948410749435425,0.0285477,0.7740771919488907,25.26,53298,39,0.0032357792,-0.0021122629,0.029264,0.692047969421219,5.397902
1000000,10000,0.11934874,41.84664797782898,0.03409392,0.78885118663311,27.5,56079,40,0.0019826905,-0.001263986,0.014492,0.8742385544425997,5.387431
1025000,10250,0.1378595,42.717634439468384,0.033358917,0.787580594420433,28.06,55230,41,0.0032988354,-0.0020900092,0.029995998,0.8725783355677776,5.3784676
1050000,10500,0.123483814,43.60331463813782,0.035189748,0.8006443232297897,26.17,56511,42,0.0036214427,-0.0023683335,0.035932,0.8591587190742211,5.373478
1075000,10750,0.1224187,44.478891372680664,0.0319886,0.8162369430065155,27.23,56467,43,0.0033633872,-0.0021647054,0.032208003,0.9753274094912966,5.369212
1100000,11000,0.13051608,45.356990814208984,0.034721788,0.8169490545988083,24.71,55252,44,0.002665171,-0.0018814348,0.021515999,0.7198370518578304,5.3604307
1125000,11250,0.15076068,46.262075901031494,0.03426189,0.7886269390583038,26.37,51622,45,0.0028060526,-0.0015381259,0.024748001,0.585801360341602,5.3526073
1150000,11500,0.13453679,47.17811346054077,0.033480246,0.7860984951257706,28.11,54138,46,0.0032340041,-0.0026965174,0.030752,0.9933853930822807,5.345383
1175000,11750,0.12745227,48.088038206100464,0.03599739,0.8088175356388092,30.31,54842,47,0.00333582,-0.0021619624,0.030244002,0.9512599574748469,5.337268
1200000,12000,0.11957083,48.98018836975098,0.037360307,0.8199706822633743,32.57,49785,48,0.003315155,-0.0022937395,0.032672,1.2127311432159695,5.3317437
1225000,12250,0.1246444,49.93716239929199,0.032756206,0.8157175630331039,27.37,54511,49,0.0022478781,-0.0015078946,0.0148519995,0.8847084030132646,5.3243895
1250000,12500,0.12675567,50.84080767631531,0.039358336,0.8252359479665756,28.13,54341,50,0.0025829482,-0.0015682147,0.019268002,1.030344995084215,5.31375
1275000,12750,0.13801347,51.76004123687744,0.04040238,0.8323754221200943,31.69,47432,51,0.0032444738,-0.0021704033,0.031331997,0.9732653026609751,5.304131
1300000,13000,0.12752506,52.91469645500183,0.038830694,0.8410159349441528,29.32,53162,52,0.0033460595,-0.0019010231,0.02748,1.006573504231428,5.2954683
1325000,13250,0.13905624,53.828603982925415,0.036950488,0.8334521651268005,27.3,52547,53,0.0021704417,-0.0014945893,0.017156001,0.8441136629875109,5.2870975
1350000,13500,0.14402361,54.75402331352234,0.038442347,0.8364856541156769,31.08,51545,54,0.00315726,-0.0020866862,0.030724,1.090128948685451,5.2761507
1375000,13750,0.15085272,55.688873291015625,0.03796531,0.8168642520904541,27.05,54289,55,0.003450909,-0.0019644434,0.031924002,0.925915983199393,5.265622
1400000,14000,0.13983956,56.60510873794556,0.040316973,0.8386079370975494,30.74,56322,56,0.0033595331,-0.0017252906,0.030852,1.1014580773006672,5.2535477
1425000,14250,0.13968794,57.491185426712036,0.04277493,0.8338871896266937,30.26,55003,57,0.0028515467,-0.0022018636,0.022824,1.0474082122845902,5.242756
1450000,14500,0.11748532,58.38656258583069,0.045482714,0.8597229570150375,30.19,56178,58,0.004036258,-0.0022886388,0.03994,1.1841175104689319,5.233859
1475000,14750,0.13178039,59.273683071136475,0.042313028,0.8421729356050491,31.96,53042,59,0.0026672685,-0.0016674481,0.022968002,1.217052893199907,5.222589
1500000,15000,0.12590031,60.179476261138916,0.042247076,0.8476219475269318,30.3,54890,60,0.0036998615,-0.0020863554,0.036444,0.9944245002474872,5.2147126
