fps,true_reward,clipfrac,ep_reward_mean,policy_loss,n_updates,value_loss,total_timesteps,ep_len_mean,explained_variance,serial_timesteps,policy_entropy,time_elapsed,approxkl
73286,1.0223849,0.187724,255.42955074346887,-0.0017500373,48,21.493195,1200000,246.81,0.45510005950927734,12000,2.7506685,40.089149951934814,0.015426911
74925,1.0317051,0.22170801,257.11219269711285,-0.001338514,49,10.157902,1225000,247.82,0.6185916066169739,12250,2.7484138,40.81018042564392,0.01636384
74043,1.0350999,0.170332,255.82337707947707,-0.00058922055,50,9.503061,1250000,246.07,0.6431004703044891,12500,2.7479057,41.5591299533844,0.011869151
72427,1.0280719,0.20667998,254.86560371896476,-0.0023080052,51,20.357677,1275000,244.93,0.505290687084198,12750,2.7517617,42.281129360198975,0.015368228
74351,1.0348983,0.20021601,255.8517561459876,-0.0009144947,52,22.20097,1300000,244.01,0.4596966505050659,13000,2.758226,43.01343369483948,0.016525269
71324,1.0188209,0.140036,252.16669564318843,-0.0010632856,53,32.318798,1325000,242.94,0.3917369842529297,13250,2.763005,43.727181911468506,0.01025066
71768,1.0403042,0.11782,256.9291429625186,-0.001959586,54,17.37637,1350000,244.9,0.5118017494678497,13500,2.7644527,44.47131562232971,0.0086804535
71003,1.0313916,0.13289198,256.0711998564996,-0.0026755834,55,20.252748,1375000,245.24,0.5186451077461243,13750,2.7655528,45.223984241485596,0.009742572
73643,1.0272955,0.14812,254.57128837757335,-0.0013268103,56,38.097412,1400000,242.18,0.34641706943511963,14000,2.7655308,45.97525906562805,0.010625572
69283,1.0182132,0.109280005,246.70602778059,-0.0009269298,57,49.700054,1425000,235.75,0.33989840745925903,14250,2.7634826,46.70287084579468,0.0079738675
73173,1.0038365,0.14699599,238.8048425062446,-0.00032710147,58,70.797134,1450000,228.75,0.23943859338760376,14500,2.7611523,47.467456579208374,0.010975789
71824,1.0093131,0.178456,248.96185046700464,0.00039135377,59,62.69448,1475000,237.98,0.2650645971298218,14750,2.7578998,48.195164918899536,0.012957322
70948,1.0244658,0.134672,250.07478541484682,-0.001668198,60,40.670296,1500000,238.84,0.3324774503707886,15000,2.7557566,48.922115325927734,0.009641184
73292,1.002661,0.14547601,241.34000491794316,-0.0013462219,61,58.91626,1525000,233.17,0.28066205978393555,15250,2.752231,49.65399146080017,0.010333389
73292,1.029763,0.20692798,256.87813061051077,-3.2573695e-05,62,22.90609,1550000,246.36,0.46912091970443726,15500,2.7500448,50.376479387283325,0.017545756
72896,0.9925586,0.11412799,242.37592954576684,-0.0015510835,63,74.65849,1575000,233.04,0.25181883573532104,15750,2.7467318,51.084333181381226,0.008317573
71144,1.0200697,0.109956004,254.36578720676013,-0.0006008263,64,28.961689,1600000,244.63,0.4643091559410095,16000,2.7428095,51.80456519126892,0.008119659
