ep_len_mean,ep_reward_mean,policy_entropy,explained_variance,fps,n_updates,serial_timesteps,time_elapsed,true_reward,clipfrac,approxkl,total_timesteps,policy_loss,value_loss
248.71,82.44598345169638,-4.840254,0.954928208142519,56325,55,13750,51.15989875793457,0.33046106,0.19854799,0.015448029,1375000,0.0030668848,0.49605185
250.0,82.49851878829068,-4.8421693,0.9687770009040833,53978,56,14000,51.950225591659546,0.3299941,0.21492401,0.016982974,1400000,0.007146427,0.27552456
246.49,82.04417436194665,-4.8420715,0.9441616348922253,54799,57,14250,52.77446174621582,0.33071485,0.197552,0.016064502,1425000,0.0018805077,0.67990077
242.57,79.12249723270536,-4.840957,0.830120399594307,57375,58,14500,53.57164645195007,0.32218364,0.326776,0.03659106,1450000,0.004022064,2.134839
243.2,79.32689833336889,-4.840654,0.9067819491028786,55739,59,14750,54.36005163192749,0.32243764,0.220032,0.017066445,1475000,0.0015284752,1.3125187
249.59,83.21122575636372,-4.8416286,0.9356678873300552,56680,60,15000,55.150227069854736,0.33261707,0.29108003,0.028668415,1500000,0.006906337,0.5915594
244.7,78.99092056605616,-4.842954,0.9211612492799759,54712,61,15250,55.95573616027832,0.3203875,0.185752,0.013512498,1525000,0.0008846574,1.0126975
245.41,80.1371058129333,-4.8440247,0.8870014026761055,55811,62,15500,56.762004375457764,0.32431948,0.156648,0.011286879,1550000,-0.0010474388,1.4130197
246.62,81.04085415242525,-4.8467417,0.9250668659806252,54641,63,15750,57.576751708984375,0.3263826,0.152908,0.010871987,1575000,-0.0002504022,0.9209887
240.0,78.66822877125406,-4.844804,0.7665286809206009,55478,64,16000,58.40394639968872,0.32163692,0.2079,0.01895655,1600000,0.0021583396,3.2595184
244.1,81.04089208281599,-4.8388357,0.8075924217700958,56750,65,16250,59.20511746406555,0.3271377,0.33945197,0.035324976,1625000,0.0060749426,2.3859391
245.28,81.28004746239341,-4.832465,0.836604580283165,53031,66,16500,60.00262761116028,0.32644007,0.32395202,0.029919034,1650000,0.0049207523,1.9927324
244.26,80.61700200813313,-4.829959,0.8526152968406677,57409,67,16750,60.83525228500366,0.32633057,0.13020399,0.009540228,1675000,-0.002360507,1.7580731
246.24,80.6770902710082,-4.827409,0.9151722341775894,55332,68,17000,61.64364290237427,0.326478,0.237048,0.018798618,1700000,0.0029454858,0.9308507
243.54,81.12545937861628,-4.8273554,0.8912254944443703,55693,69,17250,62.44186329841614,0.32954806,0.273116,0.02665855,1725000,0.0055274395,1.3139635
244.41,80.98853503441671,-4.8263707,0.7642964422702789,55935,70,17500,63.262187004089355,0.32716155,0.465836,0.06517778,1750000,0.013702266,2.7484128
249.21,82.96180838078843,-4.8253365,0.9249444454908371,55030,71,17750,64.07420659065247,0.33203402,0.390552,0.0437992,1775000,0.013837728,0.67633265
246.68,80.84437696582754,-4.82416,0.8800379261374474,54782,72,18000,64.88572406768799,0.3258853,0.21856399,0.01948861,1800000,0.002018695,1.3652514
246.79,82.24197474691377,-4.8226695,0.9175464287400246,49568,73,18250,65.73722743988037,0.33128047,0.21730801,0.017391546,1825000,0.0027210123,0.8342967
246.56,81.23415290317324,-4.824092,0.8964782953262329,52747,74,18500,66.62178254127502,0.3280306,0.245176,0.022907246,1850000,0.0030437338,1.0953095
244.28,80.80653610775218,-4.8253713,0.8856115490198135,56420,75,18750,67.46045923233032,0.3268311,0.159248,0.0114085665,1875000,-0.00038468273,1.378829
242.8,80.84882052592212,-4.825664,0.8568551540374756,56506,76,19000,68.25348353385925,0.32890466,0.113515995,0.008629253,1900000,-0.0019637574,1.7552483
244.25,80.94411290801581,-4.8238263,0.8841383680701256,52945,77,19250,69.04566669464111,0.32778254,0.111764,0.008306991,1925000,-0.0017483085,1.3538696
248.65,83.11319954879582,-4.8230495,0.9605613388121128,55600,78,19500,69.86457371711731,0.33314684,0.185352,0.013313843,1950000,0.001930668,0.4105537
247.17,82.12891596924165,-4.823669,0.9365128353238106,55810,79,19750,70.65803384780884,0.3310161,0.37299997,0.040333092,1975000,0.013621634,0.67772233
245.76,82.28709562681766,-4.8239574,0.9109912440180779,54952,80,20000,71.47293543815613,0.3324388,0.17768002,0.014253378,2000000,0.0011875055,1.0669069
247.22,81.46152914306148,-4.8263807,0.9317921325564384,55619,81,20250,72.30223822593689,0.32747063,0.19743599,0.01422372,2025000,0.001719128,0.7189529
250.0,82.94046176605094,-4.826309,0.9682215675711632,51067,82,20500,73.10156798362732,0.33176184,0.18249199,0.013949288,2050000,0.0046597454,0.2975378
246.47,80.59587837742669,-4.826401,0.945164080709219,54390,83,20750,73.96124291419983,0.32521427,0.41286,0.05243852,2075000,0.017669633,0.64308494
246.94,82.11584476116346,-4.82759,0.9499870538711548,55814,84,21000,74.76460433006287,0.3306244,0.310304,0.027202666,2100000,0.008154429,0.53236765
248.45,82.64796686900081,-4.8317075,0.95004503428936,55655,85,21250,75.57583951950073,0.33201128,0.44305602,0.05897501,2125000,0.024196362,0.5007773
250.0,82.76911599769198,-4.8334365,0.9757229033857584,56156,86,21500,76.36871719360352,0.33107644,0.373028,0.04390283,2150000,0.02145065,0.2498116
247.63,82.67309338838619,-4.8318744,0.9186542704701424,56563,87,21750,77.155268907547,0.33196288,0.338244,0.036892243,2175000,0.010308126,0.82938176
246.65,80.69359477165344,-4.824603,0.9303983449935913,55180,88,22000,77.93506145477295,0.3255259,0.36547202,0.035642214,2200000,0.011065035,0.77753603
248.27,81.82852978611598,-4.8192396,0.9391709193587303,55026,89,22250,78.75478506088257,0.3289027,0.36868796,0.039066467,2225000,0.014067677,0.602625
248.67,82.09748793876832,-4.8170123,0.9586899355053902,56286,90,22500,79.55768752098083,0.32910523,0.346276,0.03284933,2250000,0.013563445,0.42390758
250.0,83.64373957648247,-4.814839,0.9741747099906206,54702,91,22750,80.34397912025452,0.33457497,0.360788,0.039492138,2275000,0.020850213,0.2470103
246.28,82.020785768684,-4.8137674,0.9053075686097145,54310,92,23000,81.16867446899414,0.32956645,0.22716403,0.018587444,2300000,0.002819249,1.1014578
247.37,81.64190752306604,-4.8144164,0.8890111818909645,54075,93,23250,81.98477840423584,0.32726893,0.113256,0.0089640375,2325000,-0.0027212694,1.2254483
248.58,82.04863070481355,-4.810958,0.9593976251780987,55978,94,23500,82.79840993881226,0.3288531,0.188496,0.01559682,2350000,0.0014288911,0.46080533
247.3,80.03495084457711,-4.8069115,0.9319760650396347,56517,95,23750,83.58691263198853,0.32150778,0.23710398,0.019737935,2375000,0.004335871,0.83255994
248.73,82.90650780328869,-4.805602,0.8980032876133919,56648,96,24000,84.39352178573608,0.33165917,0.120676,0.009105736,2400000,-0.0010388383,1.0227236
248.24,81.95946545657003,-4.8067117,0.9212618917226791,55994,97,24250,85.1851806640625,0.3275639,0.29120398,0.026724387,2425000,0.003703126,0.8888027
249.17,82.52274687136406,-4.808401,0.9380581080913544,56126,98,24500,85.99630928039551,0.33033398,0.32902798,0.031201119,2450000,0.0072567044,0.61464465
250.0,82.3349722868338,-4.808347,0.9714895375072956,55618,99,24750,86.8059184551239,0.3293399,0.149032,0.010756213,2475000,0.0009688805,0.2586686
250.0,83.77123667578795,-4.810337,0.965301088988781,53735,100,25000,87.58406710624695,0.33508492,0.279172,0.0223013,2500000,0.00873103,0.31398427
245.96,80.29034830651129,-4.810693,0.9086784049868584,55263,101,25250,88.37267971038818,0.32292235,0.228336,0.019272598,2525000,0.0033261564,1.077964
246.16,81.29424024120286,-4.8110924,0.9058154970407486,56308,102,25500,89.16583228111267,0.3280603,0.252156,0.022121664,2550000,0.0033420168,0.9867054
247.38,80.05611782526975,-4.8128963,0.9415420740842819,55387,103,25750,89.95661926269531,0.3215514,0.206352,0.015004153,2575000,0.0019847204,0.71512896
247.13,80.34979148676612,-4.814653,0.9144458174705505,54296,104,26000,90.74795579910278,0.32307225,0.1396,0.009880883,2600000,-0.001772617,1.0593703
249.17,81.77240060718351,-4.8213406,0.9341218620538712,55625,105,26250,91.54649329185486,0.32702056,0.33376402,0.03746847,2625000,0.009899083,0.706817
250.0,82.63940006205986,-4.8281317,0.9718243554234505,55396,106,26500,92.33980631828308,0.3305576,0.315556,0.028062653,2650000,0.013260531,0.28061932
250.0,82.2910780929582,-4.831871,0.9676338285207748,55245,107,26750,93.13035297393799,0.32916433,0.34729597,0.038751654,2675000,0.018220983,0.3154965
248.69,81.74595308956515,-4.8327284,0.9533349312841892,55804,108,27000,93.92366409301758,0.32768488,0.125188,0.009260635,2700000,-0.0010561012,0.47173786
246.73,82.06126201689476,-4.833104,0.8781128972768784,56598,109,27250,94.70936918258667,0.3297311,0.19079602,0.015229073,2725000,0.0009099414,1.1854577
246.16,81.44621846225404,-4.8321376,0.9018354490399361,54676,110,27500,95.50312972068787,0.3280085,0.294116,0.026118204,2750000,0.0058190273,1.0790782
248.67,82.59820485199504,-4.832463,0.9514908194541931,56736,111,27750,96.32412815093994,0.33109856,0.14520799,0.010492907,2775000,0.00038777897,0.4570244
248.6,82.66138131115906,-4.8328505,0.9306244030594826,54099,112,28000,97.14173007011414,0.33177844,0.37309998,0.03826884,2800000,0.012775396,0.63667494
244.17,79.80552368517529,-4.830699,0.8804748356342316,54325,113,28250,97.96087050437927,0.32264706,0.399144,0.04793545,2825000,0.013151206,1.4146184
248.42,82.29152302725124,-4.8294,0.9520461857318878,54816,114,28500,98.77149271965027,0.33008292,0.28304,0.027004521,2850000,0.010618474,0.4503835
244.8,79.71063727160217,-4.829739,0.8901124224066734,55319,115,28750,99.57137608528137,0.32111612,0.18230002,0.0136748655,2875000,0.00047134547,1.3551956
248.64,81.2585224648341,-4.8304214,0.9574017487466335,54325,116,29000,100.36006665229797,0.32570577,0.30256802,0.030211668,2900000,0.011206666,0.45374283
250.0,82.82039324079,-4.8307743,0.9731457605957985,55934,117,29250,101.16880393028259,0.33128157,0.314492,0.03160282,2925000,0.015628677,0.26536402
250.0,81.85007850841153,-4.8317676,0.9676691368222237,55726,118,29500,101.98513317108154,0.3274003,0.20994,0.016780797,2950000,0.005105386,0.31176516
250.0,81.36766019704096,-4.83206,0.9744896050542593,54422,119,29750,102.79695868492126,0.32547066,0.325912,0.033294324,2975000,0.015446154,0.2563859
