serial_timesteps,n_updates,ep_reward_mean,approxkl,explained_variance,true_reward,total_timesteps,fps,time_elapsed,value_loss,clipfrac,policy_loss,policy_entropy,ep_len_mean
114500,458,3.7930079048685728,0.030238077,0.9848136156797409,0.26140833,11450000,71719,362.4840610027313,0.21052663,0.26614803,0.011440294,4.4496164,36.51
114750,459,4.280841803997755,0.0043168482,0.9800214972347021,0.25957152,11475000,71648,363.2247438430786,0.27652186,0.050324,-0.0013792037,4.4467163,38.35
115000,460,4.506195879857987,0.007362538,0.9707400090992451,0.26324376,11500000,68168,363.96072006225586,0.3913952,0.094932,-0.0015211967,4.444706,38.83
115250,461,4.235120735596865,0.008222892,0.9724283814430237,0.2617101,11525000,71520,364.71697664260864,0.37006563,0.106648006,-0.001264354,4.4419928,37.94
115500,462,4.810551004372537,0.011083455,0.9792324732989073,0.26238373,11550000,68465,365.4662981033325,0.27294436,0.141396,0.0006507673,4.438481,40.63
115750,463,3.487848278079182,0.004274371,0.9870731718838215,0.26276183,11575000,65316,366.2314431667328,0.17704162,0.048256002,-0.0012989922,4.4376144,35.55
116000,464,3.2811905455589296,0.010445168,0.9934290442615747,0.2613878,11600000,70673,366.99898386001587,0.09275161,0.14237602,-0.00031578433,4.4388437,34.77
116250,465,3.544343205112964,0.007204134,0.985265607945621,0.2614157,11625000,69871,367.75164771080017,0.19770503,0.095436,-0.00070573174,4.438037,35.73
116500,466,3.9971888268180193,0.0123497,0.9770610108971596,0.2608824,11650000,69716,368.4959571361542,0.31259334,0.148792,0.0015530882,4.4362087,37.22
116750,467,3.96507631380111,0.009526396,0.9804070312529802,0.26296902,11675000,70750,369.2414915561676,0.26525727,0.12413601,-0.0014822384,4.4319534,37.25
117000,468,3.4517633708007636,0.011254182,0.9935164302587509,0.26051208,11700000,70461,369.98064255714417,0.087039545,0.15412,0.0014776837,4.4233794,35.71
117250,469,3.788526684977114,0.01067823,0.9864845685660839,0.26219496,11725000,69967,370.71038722991943,0.18148208,0.1363,-0.0004043324,4.4152646,36.45
117500,470,3.8777492412738503,0.02854738,0.9845784716308117,0.2621285,11750000,70163,371.45063996315,0.20481923,0.29428396,0.008661107,4.4099455,36.69
117750,471,4.586134981904179,0.016423475,0.975372564047575,0.2615746,11775000,69811,372.19954085350037,0.33168262,0.20222402,0.0039389622,4.407641,39.42
118000,472,3.758599835205823,0.014991716,0.9856910528615117,0.26237565,11800000,69488,372.9479720592499,0.20763254,0.189636,0.0032995455,4.4053707,36.16
118250,473,4.531143728271127,0.010873411,0.9733411353081465,0.26233235,11825000,66091,373.7177851200104,0.39463192,0.153168,-0.00097012566,4.4046354,38.68
118500,474,4.004639055449515,0.003521173,0.9857522128149867,0.26146758,11850000,68774,374.4905045032501,0.20725517,0.033343997,-0.00087905943,4.405696,36.72
118750,475,3.8016028393246235,0.0033369772,0.984135190024972,0.2606863,11875000,69130,375.24372458457947,0.21589287,0.030480001,-0.0010247603,4.405774,36.9
119000,476,3.6872845655865967,0.0083866315,0.982464762404561,0.26285008,11900000,69888,375.9905016422272,0.23377366,0.099300005,0.0019487122,4.4037333,36.08
119250,477,3.7883634815737603,0.005853521,0.9843859588727355,0.2609298,11925000,71036,376.73087882995605,0.21097425,0.072192,-0.00030835104,4.4014125,36.19
119500,478,4.315628994908184,0.006322758,0.9843398276716471,0.26260972,11950000,69967,377.4550414085388,0.2027066,0.077328,-0.00054927246,4.398782,37.54
119750,479,3.686606819331646,0.00579376,0.9846322182565928,0.2625548,11975000,68225,378.229043006897,0.2077237,0.070728,-0.00087802456,4.396621,35.7
120000,480,3.7631535861082375,0.006464916,0.9893985288217664,0.26198378,12000000,57255,379.025563955307,0.14146349,0.081776,0.00026540848,4.3947573,35.99
120250,481,4.062434106413275,0.012105735,0.9713448639959097,0.26187333,12025000,59101,379.89635252952576,0.37868673,0.154184,-0.00018351541,4.391778,36.84
120500,482,3.5074718489684162,0.008963034,0.9800271578133106,0.26319587,12050000,66845,380.7306363582611,0.26617375,0.120656,-0.0020267805,4.3920045,35.22
120750,483,4.678773408997804,0.019331027,0.9735551998019218,0.26324904,12075000,71106,381.51506662368774,0.37576577,0.20901999,0.0049545467,4.393937,39.37
121000,484,4.147682787813246,0.008876719,0.9709694050252438,0.26414415,12100000,70301,382.2539339065552,0.3835387,0.11561201,-0.0010308642,4.3938975,37.72
121250,485,3.9541654773429036,0.0124970395,0.9742420427501202,0.26306003,12125000,66990,382.9903619289398,0.34301338,0.142124,0.0018753819,4.3942733,36.84
121500,486,4.201494017913937,0.0053411936,0.9861081447452307,0.26277286,12150000,68237,383.7545201778412,0.18527742,0.063236006,-0.0006602765,4.392268,37.7
121750,487,3.691623140051961,0.0070207887,0.9895010003820062,0.26364964,12175000,71385,384.50986909866333,0.14220807,0.086036,0.00011977912,4.386471,35.97
122000,488,3.505491809081286,0.020925827,0.9746788386255503,0.26412925,12200000,69639,385.2523293495178,0.36878282,0.240676,0.004657052,4.3808355,34.87
122250,489,4.194378114957362,0.008672807,0.9771512467414141,0.26402366,12225000,70688,386.00817465782166,0.31809208,0.11364001,-0.0005273642,4.3780956,36.87
122500,490,3.9607128112576904,0.009920743,0.9708116501569748,0.26315945,12250000,69259,386.7533257007599,0.3983047,0.127172,-0.0001119674,4.3768225,36.3
122750,491,3.607428725995123,0.008879514,0.988264380954206,0.26318887,12275000,67927,387.5192232131958,0.16098438,0.11962,-0.00049781176,4.37223,35.44
123000,492,3.73300268471241,0.009128759,0.9910103278234601,0.26339182,12300000,67817,388.29195284843445,0.12655625,0.124804,-0.00094846945,4.365706,35.89
123250,493,3.886164131592959,0.025713393,0.9902423387393355,0.2650893,12325000,68636,389.0853295326233,0.13418624,0.239248,0.008630978,4.361396,36.27
123500,494,3.204933322928846,0.03211609,0.9940984779968858,0.26432556,12350000,68589,389.83458971977234,0.07901415,0.27428,0.016112277,4.3586025,33.92
123750,495,3.566019594985992,0.03761949,0.9927292806096375,0.26397312,12375000,66468,390.6023094654083,0.09929337,0.31588402,0.017676981,4.3565907,34.98
124000,496,4.262317238952964,0.02673085,0.9809109810739756,0.26068258,12400000,68167,391.38837575912476,0.2807744,0.25130802,0.010411818,4.3553896,36.84
124250,497,3.876626743227243,0.009128096,0.9908921271562576,0.26337832,12425000,69081,392.1668860912323,0.12622137,0.124075994,0.000741106,4.354303,35.62
