time_elapsed,explained_variance,fps,true_reward,policy_loss,policy_entropy,approxkl,ep_len_mean,value_loss,n_updates,serial_timesteps,ep_reward_mean,total_timesteps,clipfrac
70.39939379692078,0.8446601927280426,55224,0.038009312,-0.0016179003,1.95851,0.004170621,242.06,0.79790497,75,18750,9.878626187075596,1875000,0.043647997
71.2137234210968,0.9190424010157585,48778,0.031863872,-0.0016865801,1.9598787,0.002590044,236.19,0.46555606,76,19000,8.208992110838658,1900000,0.019724
72.07754349708557,0.9194952845573425,55610,0.036212347,-0.0019837767,1.9616991,0.0031967699,238.45,0.546815,77,19250,9.744432152431564,1925000,0.029211998
72.88474559783936,0.8792635202407837,56594,0.033669777,-0.0014594749,1.9619935,0.003430487,236.61,0.66464937,78,19500,8.831938373511614,1950000,0.031595998
73.67552781105042,0.9017695412039757,40310,0.046365682,-0.0015814813,1.9624954,0.0033711467,243.01,0.6406941,79,19750,12.014989694214343,1975000,0.03502
74.65076780319214,0.9103338494896889,46296,0.034207456,-0.0016747622,1.9626938,0.003200508,246.13,0.38777435,80,20000,8.874959082317591,2000000,0.028796002
75.52885007858276,0.8968617469072342,57190,0.040232487,-0.0010570121,1.9609776,0.004460006,241.34,0.64603835,81,20250,10.530754924897801,2025000,0.049932
76.30801200866699,0.91827642172575,53811,0.027093405,-0.002293724,1.9586452,0.0040606596,227.82,0.60933286,82,20500,7.820233890162276,2050000,0.042944
77.12179636955261,0.9166007116436958,56011,0.036879305,-0.0015598845,1.9542542,0.0036212192,245.24,0.44540292,83,20750,9.34037791210676,2075000,0.032032
77.91534519195557,0.8962996080517769,56494,0.036493473,-0.0016837381,1.950609,0.004198233,238.13,0.60237706,84,21000,9.447763574870924,2100000,0.043896
78.71645975112915,0.9178612902760506,53750,0.03497476,-0.0015133339,1.9465882,0.0048749,233.54,0.6524861,85,21250,9.49375005488484,2125000,0.053188004
79.54387307167053,0.9083466306328773,54585,0.0328759,-0.0019372435,1.9462574,0.0033813524,241.56,0.50598055,86,21500,8.568811692921626,2150000,0.033576
80.37653660774231,0.9089753031730652,55435,0.032867603,-0.0018674011,1.9451249,0.0039451234,236.3,0.5087348,87,21750,9.012792186408037,2175000,0.037436
81.17832493782043,0.8948510214686394,56568,0.03164217,-0.0011413984,1.9382641,0.003457974,243.28,0.4318326,88,22000,8.192791024819417,2200000,0.031343997
81.9619312286377,0.8728515654802322,44521,0.039870888,-0.0016128225,1.9313164,0.0031671121,243.04,0.5819962,89,22250,10.12736322075428,2225000,0.028672
82.86859130859375,0.9275160059332848,48594,0.0361971,-0.0012282911,1.9244995,0.0041943407,237.76,0.4896063,90,22500,9.626733330903658,2250000,0.044099998
83.72967600822449,0.9222173541784286,55847,0.034482576,-0.0018111069,1.9206533,0.0041925004,231.12,0.590282,91,22750,9.387791376465877,2275000,0.042904
84.52230858802795,0.8954578638076782,54618,0.034993198,-0.0018101694,1.9197886,0.004357876,235.26,0.66974556,92,23000,9.600901959954662,2300000,0.046724003
85.32459545135498,0.9054718688130379,52467,0.03874581,-0.0011778371,1.9207847,0.004074199,243.69,0.492371,93,23250,9.985991179778534,2325000,0.041964002
86.14795565605164,0.9134481549263,54733,0.0389107,-0.0013928514,1.9182869,0.005593542,247.88,0.46931648,94,23500,9.860417964963567,2350000,0.066564
86.96008586883545,0.8793977797031403,54145,0.033305217,-0.0017471549,1.9150114,0.0045250608,238.58,0.6215571,95,23750,8.693738652278595,2375000,0.050288003
87.7726047039032,0.9135100767016411,54946,0.03181164,-0.0024260874,1.9116596,0.004067923,233.97,0.63317895,96,24000,8.754738887846298,2400000,0.041436
88.56030368804932,0.9228719994425774,55475,0.029713552,-0.0023008145,1.9111452,0.0040309224,236.97,0.46805114,97,24250,7.94332415843468,2425000,0.040459998
89.36357069015503,0.9290847182273865,55914,0.029931225,-0.0013260342,1.910572,0.005486707,233.76,0.4574849,98,24500,8.26921994584564,2450000,0.06728
90.16547775268555,0.9134463220834732,52407,0.034417342,-0.0010268728,1.9091905,0.0036382724,237.04,0.47043198,99,24750,8.883478793662768,2475000,0.034436002
90.97922110557556,0.9190758913755417,52585,0.03142127,-0.0014502686,1.9053711,0.00433256,238.61,0.37840518,100,25000,8.168539737746794,2500000,0.045968
91.83523535728455,0.9373215511441231,53584,0.029148437,-0.0019331254,1.897955,0.0037659719,233.12,0.41907564,101,25250,8.182834697489334,2525000,0.036920004
92.65256404876709,0.9294558241963387,54827,0.036270626,-0.0014152495,1.8899848,0.0034182235,241.59,0.4262585,102,25500,9.373875243627499,2550000,0.030248005
93.45828056335449,0.9281634092330933,50338,0.03530584,-0.002391501,1.8814468,0.0041430136,233.57,0.55376303,103,25750,9.688655847786395,2575000,0.041808
94.29780673980713,0.9075479060411453,55347,0.033183835,-0.0015346849,1.8734424,0.0040054847,237.86,0.57351863,104,26000,8.900788154705383,2600000,0.04034
